policy,gamma,model_seed,total_cost,trace_seed
greedy8,0.97,807,65.49472805261613,3307003
greedy8,0.97,807,109.86285745225439,3307004
greedy8,0.97,807,102.78968295454979,3307005
greedy8,0.97,807,98.13405595920345,3307006
greedy8,0.97,807,84.07469890725613,3307007
greedy8,0.97,807,108.31549288178627,3307008
greedy8,0.97,807,103.85029430213162,3307009
greedy8,0.97,807,89.78838409483433,3307010
greedy8,0.97,807,65.75040415674448,3307011
greedy8,0.97,807,91.52614980172437,3307012
greedy8,0.97,807,94.40132892280818,3307013
greedy8,0.97,807,82.95007285484098,3307014
greedy8,0.97,807,85.9505381077528,3307015
greedy8,0.97,807,84.55562509596348,3307016
greedy8,0.97,807,77.54614728093148,3307017
greedy8,0.97,807,98.25123526901007,3307018
greedy8,0.97,807,74.42418759316206,3307019
greedy8,0.97,808,85.4323359131813,3308000
greedy8,0.97,808,91.38819591618854,3308001
greedy8,0.97,808,98.10636477494481,3308002
greedy8,0.97,808,104.91512592901506,3308003
greedy8,0.97,808,117.46668504424274,3308004
greedy8,0.97,808,101.48051062971354,3308005
greedy8,0.97,808,96.94661747874407,3308006
greedy8,0.97,808,83.63032288253308,3308007
greedy8,0.97,808,94.17831742658774,3308008
greedy8,0.97,808,101.27762245550534,3308009
greedy8,0.97,808,99.33462428909232,3308010
greedy8,0.97,808,60.13700772821903,3308011
greedy8,0.97,808,89.31867042928934,3308012
greedy8,0.97,808,91.88187555051246,3308013
greedy8,0.97,808,77.53613211214542,3308014
greedy8,0.97,808,88.17454482614994,3308015
greedy8,0.97,808,74.62328456491232,3308016
greedy8,0.97,808,95.71832763552666,3308017
greedy8,0.97,808,92.76879197406623,3308018
greedy8,0.97,808,91.57104654312134,3308019
greedy8,0.97,809,105.22999413521771,3309000
greedy8,0.97,809,86.4256864894505,3309001
greedy8,0.97,809,108.94725201826738,3309002
greedy8,0.97,809,82.32202486097813,3309003
greedy8,0.97,809,113.71812462210656,3309004
greedy8,0.97,809,80.9200300425291,3309005
greedy8,0.97,809,85.99505904465914,3309006
greedy8,0.97,809,88.55263157188892,3309007
greedy8,0.97,809,100.89552531028676,3309008
greedy8,0.97,809,84.86936772614717,3309009
greedy8,0.97,809,104.02875592002889,3309010
greedy8,0.97,809,89.77545894384384,3309011
greedy8,0.97,809,97.85653353631497,3309012
greedy8,0.97,809,85.86606359481812,3309013
greedy8,0.97,809,78.72701101899148,3309014
greedy8,0.97,809,78.48928923904896,3309015
greedy8,0.97,809,110.5969529253381,3309016
greedy8,0.97,809,79.91174143850803,3309017
greedy8,0.97,809,82.26230446994305,3309018
greedy8,0.97,809,97.02309075295925,3309019
greedy8,0.97,810,84.41032148301602,3310000
greedy8,0.97,810,81.10374195277691,3310001
greedy8,0.97,810,99.8468880780533,3310002
greedy8,0.97,810,84.01392663419247,3310003
greedy8,0.97,810,73.25503951311111,3310004
greedy8,0.97,810,89.90025305750737,3310005
greedy8,0.97,810,88.65402282178403,3310006
greedy8,0.97,810,91.69082023203373,3310007
greedy8,0.97,810,79.4646210461855,3310008
greedy8,0.97,810,97.45940509438515,3310009
greedy8,0.97,810,74.65726624578238,3310010
greedy8,0.97,810,84.79473593831062,3310011
greedy8,0.97,810,88.01349847912789,3310012
greedy8,0.97,810,98.39224866424325,3310013
greedy8,0.97,810,80.75980717241764,3310014
greedy8,0.97,810,81.81988288462162,3310015
greedy8,0.97,810,87.02541194111109,3310016
greedy8,0.97,810,83.39037055671216,3310017
greedy8,0.97,810,89.03074594587088,3310018
greedy8,0.97,810,96.26141027510167,3310019
greedy8,0.97,811,83.88443514609199,3311000
greedy8,0.97,811,105.20821262668012,3311001
greedy8,0.97,811,92.59048941731453,3311002
greedy8,0.97,811,103.71594455838203,3311003
greedy8,0.97,811,100.29432327260652,3311004
greedy8,0.97,811,77.97280464321375,3311005
greedy8,0.97,811,86.19521227478981,3311006
greedy8,0.97,811,82.46675799787045,3311007
greedy8,0.97,811,95.60742470622063,3311008
greedy8,0.97,811,81.27951765954495,3311009
greedy8,0.97,811,107.9773935675621,3311010
greedy8,0.97,811,83.20665900558234,3311011
greedy8,0.97,811,81.32201661169529,3311012
greedy8,0.97,811,102.18800856214108,3311013
greedy8,0.97,811,111.38710571587676,3311014
greedy8,0.97,811,97.14143114562265,3311015
greedy8,0.97,811,79.65350956022739,3311016
greedy8,0.97,811,96.44970221221448,3311017
greedy8,0.97,811,75.37115705013275,3311018
greedy8,0.97,811,94.46983740322092,3311019
greedy8,0.97,812,77.15660470724106,3312000
greedy8,0.97,812,112.86298797307495,3312001
greedy8,0.97,812,104.10360120197834,3312002
greedy8,0.97,812,76.8928427040577,3312003
greedy8,0.97,812,77.0637284681201,3312004
greedy8,0.97,812,80.29786664460582,3312005
greedy8,0.97,812,68.66905779391527,3312006
greedy8,0.97,812,95.21597161544203,3312007
greedy8,0.97,812,68.33465561419726,3312008
greedy8,0.97,812,103.67107536215985,3312009
greedy8,0.97,812,86.97897136211395,3312010
