variant,gamma,model_seed,total_cost,trace_seed
standard_dqn,0.95,808,78.03792669773102,3308015
standard_dqn,0.95,808,66.87484260797501,3308016
standard_dqn,0.95,808,81.47036742568017,3308017
standard_dqn,0.95,808,71.0755682528019,3308018
standard_dqn,0.95,808,83.66538304537535,3308019
standard_dqn,0.95,809,100.13065452277661,3309000
standard_dqn,0.95,809,73.68903699070215,3309001
standard_dqn,0.95,809,90.64417493343353,3309002
standard_dqn,0.95,809,77.5127496957779,3309003
standard_dqn,0.95,809,91.87238692641259,3309004
standard_dqn,0.95,809,72.92927674353123,3309005
standard_dqn,0.95,809,76.85056304484606,3309006
standard_dqn,0.95,809,79.8947709724307,3309007
standard_dqn,0.95,809,93.66155883073807,3309008
standard_dqn,0.95,809,72.84318501502275,3309009
standard_dqn,0.95,809,84.87334504723549,3309010
standard_dqn,0.95,809,81.53846986442804,3309011
standard_dqn,0.95,809,88.42179418504239,3309012
standard_dqn,0.95,809,71.27970375865698,3309013
standard_dqn,0.95,809,72.31363308727741,3309014
standard_dqn,0.95,809,71.5771906003356,3309015
standard_dqn,0.95,809,87.88822170495988,3309016
standard_dqn,0.95,809,74.04245585501194,3309017
standard_dqn,0.95,809,71.50602544993163,3309018
standard_dqn,0.95,809,84.3179057776928,3309019
standard_dqn,0.95,810,83.19207040369511,3310000
standard_dqn,0.95,810,80.36475619822741,3310001
standard_dqn,0.95,810,83.85714864730835,3310002
standard_dqn,0.95,810,78.76104991436004,3310003
standard_dqn,0.95,810,56.96174743026495,3310004
standard_dqn,0.95,810,81.83266419172287,3310005
standard_dqn,0.95,810,76.82040254175664,3310006
standard_dqn,0.95,810,77.17826410531998,3310007
standard_dqn,0.95,810,75.30729337185622,3310008
standard_dqn,0.95,810,83.03827977180481,3310009
standard_dqn,0.95,810,70.97670678198338,3310010
standard_dqn,0.95,810,81.1641959488392,3310011
standard_dqn,0.95,810,76.33895618617535,3310012
standard_dqn,0.95,810,89.6473252862692,3310013
standard_dqn,0.95,810,70.51755439192057,3310014
standard_dqn,0.95,810,68.81458859145641,3310015
standard_dqn,0.95,810,72.47991926968098,3310016
standard_dqn,0.95,810,70.02711452841758,3310017
standard_dqn,0.95,810,74.02417420595884,3310018
standard_dqn,0.95,810,82.9317522674799,3310019
standard_dqn,0.95,811,73.00893780738116,3311000
standard_dqn,0.95,811,96.64831163287162,3311001
standard_dqn,0.95,811,80.70370396971703,3311002
standard_dqn,0.95,811,80.63067945837975,3311003
standard_dqn,0.95,811,83.85482026040555,3311004
standard_dqn,0.95,811,63.82454627007246,3311005
standard_dqn,0.95,811,75.27469304949045,3311006
standard_dqn,0.95,811,68.49373531490565,3311007
standard_dqn,0.95,811,78.27161252647639,3311008
standard_dqn,0.95,811,79.27659834325314,3311009
standard_dqn,0.95,811,100.69898927211761,3311010
standard_dqn,0.95,811,74.13373619616031,3311011
standard_dqn,0.95,811,73.19069270789623,3311012
standard_dqn,0.95,811,83.67087515592576,3311013
standard_dqn,0.95,811,100.33083214908838,3311014
standard_dqn,0.95,811,85.56047285497189,3311015
standard_dqn,0.95,811,77.22602197825908,3311016
standard_dqn,0.95,811,82.72925031334162,3311017
standard_dqn,0.95,811,66.12045465409756,3311018
standard_dqn,0.95,811,78.40873293578625,3311019
standard_dqn,0.95,812,74.99707675278187,3312000
standard_dqn,0.95,812,99.57312332987786,3312001
standard_dqn,0.95,812,87.40983837246895,3312002
standard_dqn,0.95,812,66.54263822436333,3312003
standard_dqn,0.95,812,68.86725553274155,3312004
standard_dqn,0.95,812,67.56144787520171,3312005
standard_dqn,0.95,812,59.76699152588844,3312006
standard_dqn,0.95,812,82.74041553139686,3312007
standard_dqn,0.95,812,64.55016566216946,3312008
standard_dqn,0.95,812,88.97485162615776,3312009
standard_dqn,0.95,812,71.89915780127049,3312010
standard_dqn,0.95,812,85.53959657251835,3312011
standard_dqn,0.95,812,91.36762735545635,3312012
standard_dqn,0.95,812,68.91863988339901,3312013
standard_dqn,0.95,812,72.80267518758774,3312014
standard_dqn,0.95,812,58.95273958146572,3312015
standard_dqn,0.95,812,85.00382931530476,3312016
standard_dqn,0.95,812,77.52915003076195,3312017
standard_dqn,0.95,812,65.12970324605703,3312018
standard_dqn,0.95,812,68.57480473220349,3312019
standard_dqn,0.95,813,77.5407225638628,3313000
standard_dqn,0.95,813,70.35883822441102,3313001
standard_dqn,0.95,813,84.04090529084206,3313002
standard_dqn,0.95,813,85.26389692872763,3313003
standard_dqn,0.95,813,81.2058727234602,3313004
standard_dqn,0.95,813,70.82527025341987,3313005
standard_dqn,0.95,813,85.4745870769024,3313006
standard_dqn,0.95,813,86.08225975930691,3313007
standard_dqn,0.95,813,78.12664497196674,3313008
standard_dqn,0.95,813,67.05765838176012,3313009
standard_dqn,0.95,813,79.97982587218284,3313010
standard_dqn,0.95,813,73.6365426659584,3313011
standard_dqn,0.95,813,76.5442346572876,3313012
standard_dqn,0.95,813,76.82762672752142,3313013
standard_dqn,0.95,813,78.18221102058888,3313014
standard_dqn,0.95,813,69.96909964084625,3313015
standard_dqn,0.95,813,71.01056998968124,3313016
standard_dqn,0.95,813,73.068703353405,3313017
standard_dqn,0.95,813,90.72661525905133,3313018
standard_dqn,0.95,813,88.9464122965932,3313019
standard_dqn,0.95,814,60.25660593956709,3314000
standard_dqn,0.95,814,65.12674443721771,3314001
standard_dqn,0.95,814,93.70278924703598,3314002
standard_dqn,0.95,814,80.6355854973197,3314003
