variant,model_seed,checkpoint_episode,total_cost,trace_seed
standard_dqn,804,900,73.73369407057763,3304000
standard_dqn,804,900,81.38667009174824,3304001
standard_dqn,804,900,80.34325119256974,3304002
standard_dqn,804,900,74.3240264326334,3304003
standard_dqn,804,900,55.74205249845981,3304004
standard_dqn,804,900,82.13241955041886,3304005
standard_dqn,804,900,84.0014546006918,3304006
standard_dqn,804,900,97.71475233137608,3304007
standard_dqn,804,900,60.075115613639355,3304008
standard_dqn,804,900,83.194190146029,3304009
standard_dqn,804,900,78.99770071506501,3304010
standard_dqn,804,900,80.7158617451787,3304011
standard_dqn,804,900,75.518009775877,3304012
standard_dqn,804,900,75.74140527993441,3304013
standard_dqn,804,900,65.77965959757566,3304014
standard_dqn,804,900,78.49568038731813,3304015
standard_dqn,804,900,73.25166431069374,3304016
standard_dqn,804,900,65.24524071067572,3304017
standard_dqn,804,900,88.88602075278759,3304018
standard_dqn,804,900,85.25668630003929,3304019
standard_dqn,805,300,89.62577515989543,3305000
standard_dqn,805,300,89.02283556759357,3305001
standard_dqn,805,300,65.69765491783619,3305002
standard_dqn,805,300,79.40955350697041,3305003
standard_dqn,805,300,97.75452670454979,3305004
standard_dqn,805,300,92.4978557229042,3305005
standard_dqn,805,300,76.97303315997124,3305006
standard_dqn,805,300,84.4071592092514,3305007
standard_dqn,805,300,93.52376680374145,3305008
standard_dqn,805,300,80.8787172883749,3305009
standard_dqn,805,300,85.87582931220531,3305010
standard_dqn,805,300,68.60181380659341,3305011
standard_dqn,805,300,73.26778090000153,3305012
standard_dqn,805,300,87.74923659861088,3305013
standard_dqn,805,300,61.048685397207734,3305014
standard_dqn,805,300,80.86986328214407,3305015
standard_dqn,805,300,75.59879231750965,3305016
standard_dqn,805,300,70.35654700547457,3305017
standard_dqn,805,300,97.19825579971075,3305018
standard_dqn,805,300,79.86502059698105,3305019
standard_dqn,805,600,88.24594810009003,3305000
standard_dqn,805,600,84.54113659262657,3305001
standard_dqn,805,600,60.64735800027847,3305002
standard_dqn,805,600,77.79187788963318,3305003
standard_dqn,805,600,92.71668223440648,3305004
standard_dqn,805,600,89.611705891788,3305005
standard_dqn,805,600,74.24517198652029,3305006
standard_dqn,805,600,83.09118694067001,3305007
standard_dqn,805,600,90.41476225405931,3305008
standard_dqn,805,600,76.15114542841911,3305009
standard_dqn,805,600,84.38140834569931,3305010
standard_dqn,805,600,66.34540293961763,3305011
