policy,gamma,model_seed,total_cost,trace_seed
mpc4,0.99,809,82.4056686937809,3309017
mpc4,0.99,809,83.65254898369312,3309018
mpc4,0.99,809,95.34136103481423,3309019
mpc4,0.99,810,87.94839508235455,3310000
mpc4,0.99,810,83.07085950858551,3310001
mpc4,0.99,810,102.38939082947361,3310002
mpc4,0.99,810,99.23160734758235,3310003
mpc4,0.99,810,74.0530397593975,3310004
mpc4,0.99,810,90.57859659194946,3310005
mpc4,0.99,810,93.50571710765362,3310006
mpc4,0.99,810,94.44415273735989,3310007
mpc4,0.99,810,79.93163742711717,3310008
mpc4,0.99,810,103.97640436887741,3310009
mpc4,0.99,810,74.51050070077181,3310010
mpc4,0.99,810,86.08265486359596,3310011
mpc4,0.99,810,85.824078643322,3310012
mpc4,0.99,810,99.28858037292957,3310013
mpc4,0.99,810,84.07691477537155,3310014
mpc4,0.99,810,86.34029042720795,3310015
mpc4,0.99,810,90.70275028795004,3310016
mpc4,0.99,810,82.25151128470898,3310017
mpc4,0.99,810,89.71511339396238,3310018
mpc4,0.99,810,105.67546759257925,3310019
mpc4,0.99,811,82.25029496753078,3311000
mpc4,0.99,811,105.97460445520016,3311001
mpc4,0.99,811,96.34045979919922,3311002
mpc4,0.99,811,103.41913064185341,3311003
mpc4,0.99,811,91.86263126669706,3311004
mpc4,0.99,811,82.27181738615036,3311005
mpc4,0.99,811,88.48870441317558,3311006
mpc4,0.99,811,84.51638503372669,3311007
mpc4,0.99,811,94.88904501497746,3311008
mpc4,0.99,811,85.95593509227038,3311009
mpc4,0.99,811,111.71223933424938,3311010
mpc4,0.99,811,83.48183446229295,3311011
mpc4,0.99,811,84.94170058957992,3311012
mpc4,0.99,811,99.25059570126388,3311013
mpc4,0.99,811,109.56365786332825,3311014
mpc4,0.99,811,97.12755156365492,3311015
mpc4,0.99,811,81.2821248203516,3311016
mpc4,0.99,811,97.52286747536249,3311017
mpc4,0.99,811,82.13557301461697,3311018
mpc4,0.99,811,93.2103893485016,3311019
mpc4,0.99,812,78.34069952368736,3312000
mpc4,0.99,812,109.27807512198432,3312001
mpc4,0.99,812,102.94406933445147,3312002
mpc4,0.99,812,78.00295143723488,3312003
mpc4,0.99,812,77.0637284681201,3312004
mpc4,0.99,812,84.4735143503992,3312005
mpc4,0.99,812,68.99223885685205,3312006
mpc4,0.99,812,95.78357121748564,3312007
mpc4,0.99,812,68.08337140977383,3312008
mpc4,0.99,812,106.52899828070403,3312009
mpc4,0.99,812,93.99200667440891,3312010
mpc4,0.99,812,91.98062762726735,3312011
mpc4,0.99,812,112.83561110712785,3312012
mpc4,0.99,812,94.03703208267689,3312013
mpc4,0.99,812,85.26579390466213,3312014
mpc4,0.99,812,70.66274535353642,3312015
mpc4,0.99,812,93.04896667392578,3312016
mpc4,0.99,812,88.57713377475739,3312017
mpc4,0.99,812,78.87731912732124,3312018
mpc4,0.99,812,80.2307475373149,3312019
mpc4,0.99,813,90.33377320364296,3313000
mpc4,0.99,813,78.21269577145577,3313001
mpc4,0.99,813,94.40642182818348,3313002
mpc4,0.99,813,90.41622816026211,3313003
mpc4,0.99,813,90.07237295824585,3313004
mpc4,0.99,813,76.004209138453,3313005
mpc4,0.99,813,95.66542270183564,3313006
mpc4,0.99,813,106.464068592928,3313007
mpc4,0.99,813,92.37123997807502,3313008
mpc4,0.99,813,81.74331235140562,3313009
mpc4,0.99,813,94.91650781587288,3313010
mpc4,0.99,813,85.3723653063178,3313011
mpc4,0.99,813,88.5781426370144,3313012
mpc4,0.99,813,93.35863543881489,3313013
mpc4,0.99,813,91.00674324683632,3313014
mpc4,0.99,813,87.14123123884201,3313015
mpc4,0.99,813,99.2822004749858,3313016
mpc4,0.99,813,78.12198439985514,3313017
mpc4,0.99,813,104.38742524295529,3313018
mpc4,0.99,813,94.96158828139305,3313019
mpc4,0.99,814,74.30065120309591,3314000
mpc4,0.99,814,70.18073765337468,3314001
mpc4,0.99,814,106.95349269243579,3314002
mpc4,0.99,814,93.5883193954125,3314003
mpc4,0.99,814,81.04240373969078,3314004
mpc4,0.99,814,80.65341196358204,3314005
mpc4,0.99,814,88.23034468310837,3314006
mpc4,0.99,814,82.25772232562304,3314007
mpc4,0.99,814,86.03443040698767,3314008
mpc4,0.99,814,83.69299339312687,3314009
mpc4,0.99,814,93.88399099707604,3314010
mpc4,0.99,814,87.48873177773727,3314011
mpc4,0.99,814,75.86126806586981,3314012
mpc4,0.99,814,103.7238715252261,3314013
mpc4,0.99,814,102.9935703753471,3314014
mpc4,0.99,814,113.36346567821502,3314015
mpc4,0.99,814,79.03042233650052,3314016
mpc4,0.99,814,87.03331854308249,3314017
mpc4,0.99,814,86.21514103710652,3314018
mpc4,0.99,814,98.68435431717943,3314019
mpc4,0.99,815,94.57496623098851,3315000
mpc4,0.99,815,79.94512871652842,3315001
mpc4,0.99,815,82.50206557573398,3315002
mpc4,0.99,815,106.78723467954684,3315003
mpc4,0.99,815,92.8408317670226,3315004
mpc4,0.99,815,94.98232951015234,3315005
mpc4,0.99,815,105.22996811568737,3315006
mpc4,0.99,815,77.03603166341782,3315007
mpc4,0.99,815,100.0954502671957,3315008
mpc4,0.99,815,94.10963800756464,3315009
mpc4,0.99,815,102.49798083439914,3315010
mpc4,0.99,815,76.04294083416463,3315011
mpc4,0.99,815,89.50515593588352,3315012
mpc4,0.99,815,86.73444294117233,3315013
mpc4,0.99,815,98.66988957822323,3315014
mpc4,0.99,815,82.03447274751032,3315015
mpc4,0.99,815,80.13086622953415,3315016
mpc4,0.99,815,113.47007711713728,3315017
mpc4,0.99,815,95.50990897605497,3315018
mpc4,0.99,815,71.14744188189506,3315019
mpc4,0.99,816,100.0509525452426,3316000
mpc4,0.99,816,93.96119643078451,3316001
mpc4,0.99,816,77.4987450838089,3316002
mpc4,0.99,816,78.73841988295317,3316003
mpc4,0.99,816,88.69727643579245,3316004
mpc4,0.99,816,76.88290711641312,3316005
mpc4,0.99,816,78.55241449922323,3316006
mpc4,0.99,816,95.61067976355552,3316007
mpc4,0.99,816,85.95020358509124,3316008
mpc4,0.99,816,104.06746123689787,3316009
mpc4,0.99,816,86.83535132557154,3316010
mpc4,0.99,816,70.18557510524988,3316011
mpc4,0.99,816,79.15003376504058,3316012
mpc4,0.99,816,79.09598895162344,3316013
mpc4,0.99,816,103.02329997801748,3316014
mpc4,0.99,816,88.2549632191658,3316015
mpc4,0.99,816,88.97301118820906,3316016
