variant,model_seed,episode,cost,rolling_cost,immediate_cost,penalty,energy_use,latency_ms,thermal_violation,energy_violation,queue_violation,contact_violation,epsilon,loss,td_loss,auxiliary_loss,preview_transition_scale
centered_full_action_dqn,812,15,117.51752442121506,124.20986729352852,40.05608604848385,77.46143916249275,1.754819879308343,23729.434356689453,0.0,33.0,0.0,1.0,0.9276190476190476,0.5354479718953371,0.531774366274476,0.012245342193637043,0.85
centered_full_action_dqn,812,16,122.46802976424938,124.10740626239443,41.34672240167856,81.12130678887613,1.766526554711163,24476.84204864502,0.0,34.0,9.0,0.0,0.9230952380952381,0.5896390490233898,0.5846342518925667,0.016682649904396385,0.85
centered_full_action_dqn,812,17,97.27212564051152,122.61655733895651,32.61083620786667,64.66128996908665,1.639148292131722,19556.390228271484,0.0,27.0,0.0,2.0,0.9185714285714286,0.3698849193751812,0.3665986731648445,0.010954154888167977,0.85
centered_full_action_dqn,812,18,167.71604879082832,124.99021478379186,42.03732620179653,125.67872261883407,1.887452426366508,25368.380056381226,0.0,36.0,34.0,2.0,0.914047619047619,0.259133730083704,0.254812934435904,0.014402647444512695,0.85
centered_full_action_dqn,812,19,134.7456335992498,125.47798572456475,43.54292640089989,91.2027067513151,1.8730547400191426,25959.309993743896,0.0,36.0,6.0,2.0,0.9095238095238095,0.25406945310533047,0.25042147655040026,0.012159919599071145,0.85
centered_full_action_dqn,812,20,137.25784400968413,127.18921349142063,42.527705654501915,94.73013851909496,1.8237125789746642,24695.285987854004,0.0,37.0,15.0,0.0,0.905,0.22703766077756882,0.22405678872019053,0.009936237969668582,0.85
centered_full_action_dqn,812,21,194.1825405607614,128.96248434313688,44.25538621842861,149.9271543125305,1.9874420082196593,27228.936698913574,0.0,35.0,31.0,1.0,0.9004761904761904,0.24907444044947624,0.24548894073814154,0.011951657594181597,0.85
centered_full_action_dqn,812,22,138.54261840066923,130.51302830172216,46.09595622122288,92.44666282019625,1.8882113182917237,26847.983268737793,0.0,36.0,9.0,2.0,0.895952380952381,0.23626522161066532,0.232732349075377,0.011776235653087497,0.85
centered_full_action_dqn,812,23,121.03611842076623,130.89547546338704,38.05966420471668,82.97645427565419,1.7465276271104813,23179.64359474182,0.0,33.0,9.0,0.0,0.8914285714285715,0.6035262672230601,0.5996914813295007,0.012782619392964989,0.85
centered_full_action_dqn,812,24,117.56757809221745,131.3982428764966,38.981339290738106,78.58623886108398,1.7500827480107546,23515.498458862305,0.0,32.0,0.0,1.0,0.8869047619047619,0.5693482477217913,0.5652708411216736,0.013591368566267192,0.85
centered_full_action_dqn,812,25,124.635990858078,131.3681923715439,41.964709013700485,82.67128095030785,1.7880453914403915,24175.266235351562,0.0,34.0,0.0,0.0,0.8823809523809524,0.3818737929686904,0.37818762101233006,0.012287247576750815,0.85
