scenario,comparison,model_seed,difference
energy_limited,centered_full_action_dqn - standard_dqn,818,-1.3648268441855862
energy_limited,centered_full_action_dqn - standard_dqn,819,-0.43721001446247953
energy_limited,centered_full_action_dqn - full_action_q_dqn,800,0.520021511912347
energy_limited,centered_full_action_dqn - full_action_q_dqn,801,-1.2114340334385503
energy_limited,centered_full_action_dqn - full_action_q_dqn,802,-2.196914288103585
energy_limited,centered_full_action_dqn - full_action_q_dqn,803,0.5464023584872422
energy_limited,centered_full_action_dqn - full_action_q_dqn,804,-1.3525416608899832
energy_limited,centered_full_action_dqn - full_action_q_dqn,805,-0.585111021175976
energy_limited,centered_full_action_dqn - full_action_q_dqn,806,-2.0392659081518616
energy_limited,centered_full_action_dqn - full_action_q_dqn,807,0.9101397089660281
energy_limited,centered_full_action_dqn - full_action_q_dqn,808,-0.6421964354067882
energy_limited,centered_full_action_dqn - full_action_q_dqn,809,-1.1209401011466866
energy_limited,centered_full_action_dqn - full_action_q_dqn,810,-0.3574021147936577
energy_limited,centered_full_action_dqn - full_action_q_dqn,811,-4.547509821206333
energy_limited,centered_full_action_dqn - full_action_q_dqn,812,-0.5932574079185713
energy_limited,centered_full_action_dqn - full_action_q_dqn,813,-1.2094746199250324
energy_limited,centered_full_action_dqn - full_action_q_dqn,814,0.23380404014140765
energy_limited,centered_full_action_dqn - full_action_q_dqn,815,-1.0559521020948779
energy_limited,centered_full_action_dqn - full_action_q_dqn,816,1.230789479613307
energy_limited,centered_full_action_dqn - full_action_q_dqn,817,-0.40150501832367524
energy_limited,centered_full_action_dqn - full_action_q_dqn,818,-1.2676996383070929
energy_limited,centered_full_action_dqn - full_action_q_dqn,819,-0.614773805066946
energy_limited,immediate_advantage_dqn - standard_dqn,800,1.5692444667220116
energy_limited,immediate_advantage_dqn - standard_dqn,801,-2.4065666693448975
energy_limited,immediate_advantage_dqn - standard_dqn,802,0.7768011769652503
energy_limited,immediate_advantage_dqn - standard_dqn,803,-1.6572626829892414
energy_limited,immediate_advantage_dqn - standard_dqn,804,-0.24168148942293044
energy_limited,immediate_advantage_dqn - standard_dqn,805,-0.5655878270417389
energy_limited,immediate_advantage_dqn - standard_dqn,806,0.2967541784793184
energy_limited,immediate_advantage_dqn - standard_dqn,807,0.12681393921376127
energy_limited,immediate_advantage_dqn - standard_dqn,808,-3.3253794648498314
energy_limited,immediate_advantage_dqn - standard_dqn,809,-0.36709960378705375
energy_limited,immediate_advantage_dqn - standard_dqn,810,-0.056641893982870783
energy_limited,immediate_advantage_dqn - standard_dqn,811,0.671871741414094
energy_limited,immediate_advantage_dqn - standard_dqn,812,-1.0970499444007942
energy_limited,immediate_advantage_dqn - standard_dqn,813,0.9329600648582073
energy_limited,immediate_advantage_dqn - standard_dqn,814,-0.7161159620434034
energy_limited,immediate_advantage_dqn - standard_dqn,815,-2.8078166755288834
energy_limited,immediate_advantage_dqn - standard_dqn,816,-0.1998027743399149
energy_limited,immediate_advantage_dqn - standard_dqn,817,-0.3128688751161235
energy_limited,immediate_advantage_dqn - standard_dqn,818,-1.4180060371011507
energy_limited,immediate_advantage_dqn - standard_dqn,819,0.6324840143322916
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,800,-0.9934005580842467
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,801,1.628433108329773
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,802,-1.8466515832394492
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,803,0.7904571005701939
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,804,-0.8017981569468873
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,805,-0.018201347962033765
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,806,-1.9600870486348896
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,807,0.3037396956235199
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,808,1.4050564763695093
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,809,0.2530341006815462
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,810,0.05236508838831355
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,811,-2.1131331356614993
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,812,0.198520451039073
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,813,-0.15516454949975866
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,814,0.23891200311481953
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,815,-0.9800922451540828
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,816,1.6297313861548872
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,817,-0.018645069822667892
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,818,0.0531791929155645
energy_limited,centered_full_action_dqn - immediate_advantage_dqn,819,-1.0696940287947712
energy_limited,double_centered_full_action_dqn - double_dqn,800,0.21523644670844533
energy_limited,double_centered_full_action_dqn - double_dqn,801,1.7058942782878859
energy_limited,double_centered_full_action_dqn - double_dqn,802,-0.7085627166927111
energy_limited,double_centered_full_action_dqn - double_dqn,803,-3.9583518012985763
energy_limited,double_centered_full_action_dqn - double_dqn,804,-1.3134810684621385
energy_limited,double_centered_full_action_dqn - double_dqn,805,-0.5018436746299244
energy_limited,double_centered_full_action_dqn - double_dqn,806,-2.678093020543457
energy_limited,double_centered_full_action_dqn - double_dqn,807,0.4486581191420669
energy_limited,double_centered_full_action_dqn - double_dqn,808,-1.538972710818058
energy_limited,double_centered_full_action_dqn - double_dqn,809,-0.8604653234779818
energy_limited,double_centered_full_action_dqn - double_dqn,810,-0.014133790433405125
energy_limited,double_centered_full_action_dqn - double_dqn,811,-1.8138764028996377
energy_limited,double_centered_full_action_dqn - double_dqn,812,-0.8834288846701384
energy_limited,double_centered_full_action_dqn - double_dqn,813,0.027314192354680245
energy_limited,double_centered_full_action_dqn - double_dqn,814,0.2965213557332902
energy_limited,double_centered_full_action_dqn - double_dqn,815,-5.285402939915656
energy_limited,double_centered_full_action_dqn - double_dqn,816,-0.0601670008152837
energy_limited,double_centered_full_action_dqn - double_dqn,817,0.007604445293551976
energy_limited,double_centered_full_action_dqn - double_dqn,818,-0.545388420522201
energy_limited,double_centered_full_action_dqn - double_dqn,819,-2.6325061026960554
link_limited,full_action_q_dqn - standard_dqn,800,0.23858847245574566
link_limited,full_action_q_dqn - standard_dqn,801,0.31914933696388914
link_limited,full_action_q_dqn - standard_dqn,802,-0.36148042865097807
link_limited,full_action_q_dqn - standard_dqn,803,-0.8548785582184735
link_limited,full_action_q_dqn - standard_dqn,804,1.1430761463940229
link_limited,full_action_q_dqn - standard_dqn,805,0.053128043860212415
link_limited,full_action_q_dqn - standard_dqn,806,-0.07383662164211557
link_limited,full_action_q_dqn - standard_dqn,807,-0.23009783923625093
link_limited,full_action_q_dqn - standard_dqn,808,-1.4293636091798447
link_limited,full_action_q_dqn - standard_dqn,809,0.5197040352970248
link_limited,full_action_q_dqn - standard_dqn,810,-0.15729851387442295
link_limited,full_action_q_dqn - standard_dqn,811,1.044467010647054
link_limited,full_action_q_dqn - standard_dqn,812,-0.11339832313359466
link_limited,full_action_q_dqn - standard_dqn,813,0.9286853778362314
link_limited,full_action_q_dqn - standard_dqn,814,-0.704496527463192
link_limited,full_action_q_dqn - standard_dqn,815,-0.24069165997207165
link_limited,full_action_q_dqn - standard_dqn,816,-1.7892741956561906
link_limited,full_action_q_dqn - standard_dqn,817,0.11393267855049771
link_limited,full_action_q_dqn - standard_dqn,818,-0.18399705246091003
link_limited,full_action_q_dqn - standard_dqn,819,-0.020824440568674163
link_limited,centered_full_action_dqn - standard_dqn,800,0.4387772720307055
link_limited,centered_full_action_dqn - standard_dqn,801,0.30186572670936584
link_limited,centered_full_action_dqn - standard_dqn,802,-0.7718039564788342
link_limited,centered_full_action_dqn - standard_dqn,803,-0.882728556543583
link_limited,centered_full_action_dqn - standard_dqn,804,-0.47935673929750067
link_limited,centered_full_action_dqn - standard_dqn,805,-0.5831635162234221
link_limited,centered_full_action_dqn - standard_dqn,806,-0.5192779722809888
link_limited,centered_full_action_dqn - standard_dqn,807,0.07287013605237291
link_limited,centered_full_action_dqn - standard_dqn,808,-1.600615158826102
link_limited,centered_full_action_dqn - standard_dqn,809,-0.05170934721827791
link_limited,centered_full_action_dqn - standard_dqn,810,-1.311862701252096
link_limited,centered_full_action_dqn - standard_dqn,811,-0.6089106664806678
link_limited,centered_full_action_dqn - standard_dqn,812,0.2560695625841589
link_limited,centered_full_action_dqn - standard_dqn,813,0.6225033684074788
link_limited,centered_full_action_dqn - standard_dqn,814,-0.34287188351153475
link_limited,centered_full_action_dqn - standard_dqn,815,-1.97102574482561
link_limited,centered_full_action_dqn - standard_dqn,816,-1.2679514159262197
link_limited,centered_full_action_dqn - standard_dqn,817,-0.10431158058344181
link_limited,centered_full_action_dqn - standard_dqn,818,-0.4450688024610372
link_limited,centered_full_action_dqn - standard_dqn,819,-0.013785647228360176
link_limited,centered_full_action_dqn - full_action_q_dqn,800,0.20018879957495983
link_limited,centered_full_action_dqn - full_action_q_dqn,801,-0.017283610254523296
link_limited,centered_full_action_dqn - full_action_q_dqn,802,-0.4103235278278561
link_limited,centered_full_action_dqn - full_action_q_dqn,803,-0.027849998325109482
link_limited,centered_full_action_dqn - full_action_q_dqn,804,-1.6224328856915236
link_limited,centered_full_action_dqn - full_action_q_dqn,805,-0.6362915600836345
link_limited,centered_full_action_dqn - full_action_q_dqn,806,-0.44544135063887325
link_limited,centered_full_action_dqn - full_action_q_dqn,807,0.30296797528862385
link_limited,centered_full_action_dqn - full_action_q_dqn,808,-0.17125154964625722
link_limited,centered_full_action_dqn - full_action_q_dqn,809,-0.5714133825153027
link_limited,centered_full_action_dqn - full_action_q_dqn,810,-1.154564187377673
link_limited,centered_full_action_dqn - full_action_q_dqn,811,-1.6533776771277218
link_limited,centered_full_action_dqn - full_action_q_dqn,812,0.3694678857177536
link_limited,centered_full_action_dqn - full_action_q_dqn,813,-0.3061820094287526
link_limited,centered_full_action_dqn - full_action_q_dqn,814,0.3616246439516573
link_limited,centered_full_action_dqn - full_action_q_dqn,815,-1.7303340848535385
link_limited,centered_full_action_dqn - full_action_q_dqn,816,0.5213227797299709
link_limited,centered_full_action_dqn - full_action_q_dqn,817,-0.21824425913393952
link_limited,centered_full_action_dqn - full_action_q_dqn,818,-0.26107175000012717
link_limited,centered_full_action_dqn - full_action_q_dqn,819,0.007038793340313987
link_limited,immediate_advantage_dqn - standard_dqn,800,0.33141738019882894
link_limited,immediate_advantage_dqn - standard_dqn,801,0.6115234348922911
link_limited,immediate_advantage_dqn - standard_dqn,802,-0.23158609159290222
link_limited,immediate_advantage_dqn - standard_dqn,803,-1.0805679585784702
link_limited,immediate_advantage_dqn - standard_dqn,804,-0.2905036855488987
link_limited,immediate_advantage_dqn - standard_dqn,805,0.542359536960717
link_limited,immediate_advantage_dqn - standard_dqn,806,-0.6483702432364282
link_limited,immediate_advantage_dqn - standard_dqn,807,0.021759917214524194
link_limited,immediate_advantage_dqn - standard_dqn,808,-2.19872787944972
link_limited,immediate_advantage_dqn - standard_dqn,809,0.032392907515159663
link_limited,immediate_advantage_dqn - standard_dqn,810,-0.6258916784822901
link_limited,immediate_advantage_dqn - standard_dqn,811,0.41879134021698405
link_limited,immediate_advantage_dqn - standard_dqn,812,0.14069066390393914
link_limited,immediate_advantage_dqn - standard_dqn,813,0.47704110503195807
link_limited,immediate_advantage_dqn - standard_dqn,814,-1.194364397004236
link_limited,immediate_advantage_dqn - standard_dqn,815,-2.0508057445287733
link_limited,immediate_advantage_dqn - standard_dqn,816,-0.9594241415709206
link_limited,immediate_advantage_dqn - standard_dqn,817,0.47147739328443095
link_limited,immediate_advantage_dqn - standard_dqn,818,-0.039634564146396656
link_limited,immediate_advantage_dqn - standard_dqn,819,0.08121512532234476
link_limited,centered_full_action_dqn - immediate_advantage_dqn,800,0.10735989183187655
link_limited,centered_full_action_dqn - immediate_advantage_dqn,801,-0.30965770818292526
link_limited,centered_full_action_dqn - immediate_advantage_dqn,802,-0.5402178648859319
link_limited,centered_full_action_dqn - immediate_advantage_dqn,803,0.19783940203488726
link_limited,centered_full_action_dqn - immediate_advantage_dqn,804,-0.18885305374860195
link_limited,centered_full_action_dqn - immediate_advantage_dqn,805,-1.1255230531841391
link_limited,centered_full_action_dqn - immediate_advantage_dqn,806,0.1290922709554394
link_limited,centered_full_action_dqn - immediate_advantage_dqn,807,0.05111021883784872
link_limited,centered_full_action_dqn - immediate_advantage_dqn,808,0.5981127206236181
link_limited,centered_full_action_dqn - immediate_advantage_dqn,809,-0.08410225473343758
link_limited,centered_full_action_dqn - immediate_advantage_dqn,810,-0.6859710227698059
link_limited,centered_full_action_dqn - immediate_advantage_dqn,811,-1.0277020066976519
link_limited,centered_full_action_dqn - immediate_advantage_dqn,812,0.11537889868021978
link_limited,centered_full_action_dqn - immediate_advantage_dqn,813,0.1454622633755207
link_limited,centered_full_action_dqn - immediate_advantage_dqn,814,0.8514925134927012
link_limited,centered_full_action_dqn - immediate_advantage_dqn,815,0.07977999970316318
link_limited,centered_full_action_dqn - immediate_advantage_dqn,816,-0.30852727435529914
link_limited,centered_full_action_dqn - immediate_advantage_dqn,817,-0.5757889738678728
link_limited,centered_full_action_dqn - immediate_advantage_dqn,818,-0.40543423831464054
link_limited,centered_full_action_dqn - immediate_advantage_dqn,819,-0.09500077255070494
link_limited,double_centered_full_action_dqn - double_dqn,800,0.5954644753783924
link_limited,double_centered_full_action_dqn - double_dqn,801,-0.923057222738862
link_limited,double_centered_full_action_dqn - double_dqn,802,-0.4689986128360033
link_limited,double_centered_full_action_dqn - double_dqn,803,-0.9907705213129532
link_limited,double_centered_full_action_dqn - double_dqn,804,-0.019993039965626735
link_limited,double_centered_full_action_dqn - double_dqn,805,0.5708737750351389
link_limited,double_centered_full_action_dqn - double_dqn,806,-2.208317793160674
link_limited,double_centered_full_action_dqn - double_dqn,807,0.02644331716000181
link_limited,double_centered_full_action_dqn - double_dqn,808,-1.4055495851486768
link_limited,double_centered_full_action_dqn - double_dqn,809,0.03843057908117942
link_limited,double_centered_full_action_dqn - double_dqn,810,-0.9867170155793445
link_limited,double_centered_full_action_dqn - double_dqn,811,-0.47051032304764817
link_limited,double_centered_full_action_dqn - double_dqn,812,-1.0315593410283412
link_limited,double_centered_full_action_dqn - double_dqn,813,0.26153474681078137
