scenario,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
burst,centered_full_action_dqn_exact,810,95.22215262271465,30.58709013275802,64.63506252087653,1.5757897000294179,17623.886202526093,1118.2694064706563,0.0,28.35,0.0,1.3,0.0,0.19124685004353523,0.0,0.0,0.0046875,0.36875,0.6265625
burst,centered_full_action_dqn_exact,811,99.0085504361987,32.0517403755337,66.95681014820933,1.585986602352932,17967.43017549515,908.230340245366,0.0,29.2,0.0,1.7,0.0,0.1912330262362957,0.0,0.0,0.0,0.24296875,0.75703125
burst,centered_full_action_dqn_exact,812,93.65987975180148,31.064605720341206,62.595273997932665,1.580326819140464,17915.76020555496,1142.7920452803373,0.0,27.95,0.0,1.85,0.0,0.1916298560798168,0.0,0.0,0.0,0.38828125,0.61171875
burst,centered_full_action_dqn_exact,813,97.97947231516243,31.844745783507825,66.13472653128207,1.5885759517084808,18025.471439170837,996.2422896504402,0.0,29.05,0.0,1.45,0.0,0.19133980050683022,0.0,0.0,0.003125,0.30546875,0.69140625
burst,centered_full_action_dqn_exact,814,96.52497905127704,31.819677708297966,64.705301303491,1.5871899741701783,18066.864647102357,1118.7769762091339,0.0,28.65,0.0,1.5,0.0,0.1919008530676365,0.0,0.0,0.01796875,0.36796875,0.6140625
burst,centered_full_action_dqn_exact,815,97.16506685007364,31.283436450921,65.88163030564786,1.5846307954750956,17889.26789417267,1008.6305754065513,0.0,28.9,0.0,0.75,0.0,0.19287444427609443,0.0,0.0,0.0,0.30390625,0.69609375
burst,centered_full_action_dqn_exact,816,93.17137848772109,30.842332129925488,62.329046328365806,1.5595256362576038,17459.94965877533,978.9715714722872,0.0,27.7,0.0,0.95,0.0,0.19127045348286628,0.0,0.0,0.0,0.2984375,0.7015625
burst,centered_full_action_dqn_exact,817,96.42698187306523,31.699405743181707,64.72757607623934,1.5748828127514571,17866.879413700102,953.9923313945532,0.0,28.4,0.0,1.25,0.0,0.19125127121806146,0.0,0.0,0.0,0.28125,0.71875
burst,centered_full_action_dqn_exact,818,97.64800329685212,31.34360522516072,66.30439820654689,1.58119565541856,17838.423192501068,1054.827058827877,0.0,28.95,0.0,1.35,0.0,0.19142053574323653,0.0,0.0,0.0,0.34375,0.65625
burst,centered_full_action_dqn_exact,819,95.46395205020904,32.29608744997531,63.167864644005896,1.5746609366964548,17946.191415786743,828.9348291873932,0.0,28.05,0.0,0.95,0.0,0.19242409914731978,0.0,0.0,0.0,0.21875,0.78125
burst,centered_full_action_dqn_preview_0p85,800,97.14183112077416,31.107825914025305,66.03400522202253,1.574544224375859,17672.775028324126,1049.3358370631934,0.0,28.85,0.0,1.45,0.0,0.19192990362644197,0.0,0.0,0.0,0.3296875,0.6703125
