scenario,comparison,model_seed,difference
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,816,1.120675379261371
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,817,-0.44854848675430503
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,818,-0.8602844662219269
energy_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,819,-0.22930154353380772
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,800,0.12920414440334582
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,801,-0.804530849605797
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,802,-0.8998710573464734
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,803,-1.2607149182260144
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,804,-1.5748688156902944
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,805,-0.25667640700936545
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,806,-1.730236917883147
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,807,-0.30187970548867327
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,808,-3.3352763441949946
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,809,-0.08358945734799761
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,810,0.16111036606132245
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,811,-1.7206653767824065
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,812,-0.7054441056400691
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,813,0.19037718124688752
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,814,-0.5636249229311971
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,815,-4.217197320461267
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,816,-0.07348659388721046
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,817,-0.041905117258437485
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,818,-0.9321044426411476
energy_limited,centered_full_action_dqn_preview_1p15 - standard_dqn,819,-0.2790885191410837
link_limited,centered_full_action_dqn_exact - standard_dqn,800,0.4387772720307055
link_limited,centered_full_action_dqn_exact - standard_dqn,801,0.30186572670936584
link_limited,centered_full_action_dqn_exact - standard_dqn,802,-0.7718039564788342
link_limited,centered_full_action_dqn_exact - standard_dqn,803,-0.882728556543583
link_limited,centered_full_action_dqn_exact - standard_dqn,804,-0.47935673929750067
link_limited,centered_full_action_dqn_exact - standard_dqn,805,-0.5831635162234221
link_limited,centered_full_action_dqn_exact - standard_dqn,806,-0.5192779722809888
link_limited,centered_full_action_dqn_exact - standard_dqn,807,0.07287013605237291
link_limited,centered_full_action_dqn_exact - standard_dqn,808,-1.600615158826102
link_limited,centered_full_action_dqn_exact - standard_dqn,809,-0.05170934721827791
link_limited,centered_full_action_dqn_exact - standard_dqn,810,-1.311862701252096
link_limited,centered_full_action_dqn_exact - standard_dqn,811,-0.6089106664806678
link_limited,centered_full_action_dqn_exact - standard_dqn,812,0.2560695625841589
link_limited,centered_full_action_dqn_exact - standard_dqn,813,0.6225033684074788
link_limited,centered_full_action_dqn_exact - standard_dqn,814,-0.34287188351153475
link_limited,centered_full_action_dqn_exact - standard_dqn,815,-1.97102574482561
link_limited,centered_full_action_dqn_exact - standard_dqn,816,-1.2679514159262197
link_limited,centered_full_action_dqn_exact - standard_dqn,817,-0.10431158058344181
link_limited,centered_full_action_dqn_exact - standard_dqn,818,-0.4450688024610372
link_limited,centered_full_action_dqn_exact - standard_dqn,819,-0.013785647228360176
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,800,0.15368840023874952
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,801,-0.24400046691297916
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,802,-0.2368298802524862
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,803,-0.7907269570976467
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,804,-0.3902431812137337
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,805,-0.7167560249566947
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,806,-0.659205963015566
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,807,-0.38850679472088245
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,808,-1.3536345367878653
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,809,0.07072507143020346
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,810,-0.37223977826535304
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,811,0.5588460072129919
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,812,-0.3819249962270277
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,813,0.30181732572614806
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,814,0.04386250600218489
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,815,-1.3652880735695447
link_limited,centered_full_action_dqn_preview_0p85 - standard_dqn,816,-1.5384488811343857
