profile,comparison,model_seed,difference
data_plus20,centered_full_action_dqn - mpc_h4,817,-13.386407874848288
data_plus20,centered_full_action_dqn - mpc_h4,818,-12.768306732658502
data_plus20,centered_full_action_dqn - mpc_h4,819,-10.316438777024615
energy_plus20,centered_full_action_dqn - standard_dqn,800,0.2979743742942844
energy_plus20,centered_full_action_dqn - standard_dqn,801,-0.9371047734469187
energy_plus20,centered_full_action_dqn - standard_dqn,802,-0.7386001316457964
energy_plus20,centered_full_action_dqn - standard_dqn,803,-0.6936478807777178
energy_plus20,centered_full_action_dqn - standard_dqn,804,-0.6711740477383046
energy_plus20,centered_full_action_dqn - standard_dqn,805,-0.7320406661182659
energy_plus20,centered_full_action_dqn - standard_dqn,806,-1.0146848772466228
energy_plus20,centered_full_action_dqn - standard_dqn,807,0.2481236740946855
energy_plus20,centered_full_action_dqn - standard_dqn,808,-1.3466036756336734
energy_plus20,centered_full_action_dqn - standard_dqn,809,-0.04648917101323491
energy_plus20,centered_full_action_dqn - standard_dqn,810,-0.36874238438903717
energy_plus20,centered_full_action_dqn - standard_dqn,811,-0.7066160345822681
energy_plus20,centered_full_action_dqn - standard_dqn,812,-0.37507598124444996
energy_plus20,centered_full_action_dqn - standard_dqn,813,0.5277348004281635
energy_plus20,centered_full_action_dqn - standard_dqn,814,-0.39690425992012024
energy_plus20,centered_full_action_dqn - standard_dqn,815,-3.4745567649602833
energy_plus20,centered_full_action_dqn - standard_dqn,816,-0.08874861612915197
energy_plus20,centered_full_action_dqn - standard_dqn,817,-0.18845377370713834
energy_plus20,centered_full_action_dqn - standard_dqn,818,-0.8057786510139806
energy_plus20,centered_full_action_dqn - standard_dqn,819,-0.4003192807734024
energy_plus20,centered_full_action_dqn - mpc_h4,800,-9.413409889592259
energy_plus20,centered_full_action_dqn - mpc_h4,801,-7.318940701311234
energy_plus20,centered_full_action_dqn - mpc_h4,802,-10.192559501582082
energy_plus20,centered_full_action_dqn - mpc_h4,803,-10.389311180541128
energy_plus20,centered_full_action_dqn - mpc_h4,804,-8.615049414801533
energy_plus20,centered_full_action_dqn - mpc_h4,805,-9.86649089475128
energy_plus20,centered_full_action_dqn - mpc_h4,806,-9.052120879489593
energy_plus20,centered_full_action_dqn - mpc_h4,807,-7.968861751932877
energy_plus20,centered_full_action_dqn - mpc_h4,808,-9.67333160858199
energy_plus20,centered_full_action_dqn - mpc_h4,809,-8.89180929565073
energy_plus20,centered_full_action_dqn - mpc_h4,810,-9.808868842891656
energy_plus20,centered_full_action_dqn - mpc_h4,811,-8.608840155221728
energy_plus20,centered_full_action_dqn - mpc_h4,812,-10.256260073510973
energy_plus20,centered_full_action_dqn - mpc_h4,813,-7.705295568075158
energy_plus20,centered_full_action_dqn - mpc_h4,814,-8.45296022570399
energy_plus20,centered_full_action_dqn - mpc_h4,815,-9.434224355035866
energy_plus20,centered_full_action_dqn - mpc_h4,816,-9.231788858195117
