planner_horizon,trace_seed,total_cost,planning_ms_per_decision
1,3301018,103.09210402585371,0.12460780817491468
2,3301018,99.14101649133607,0.4956765624228865
4,3301018,97.49518473446369,4.785395316503127
6,3301018,95.88476687173514,42.479607813220355
1,3301019,118.30545727907362,0.12786562365363352
2,3301019,110.65595945535853,0.49718750778993126
4,3301019,106.20566191374492,4.802731245945324
6,3301019,101.16262710988522,42.786640628037276
1,3302000,95.98927363548893,0.13323750135896262
2,3302000,93.56018815312711,0.5093078107165638
4,3302000,91.70281830563665,4.862612500801333
6,3302000,90.14512275904417,42.592795312884846
1,3302001,112.67391915267231,0.12648280790017452
2,3302001,103.76013075581784,0.4942812429362675
4,3302001,104.04394983832788,4.86423749680398
6,3302001,103.83738786037351,42.83177968318341
1,3302002,99.19416619520426,0.12660624997806735
2,3302002,94.35211793886663,0.4904109318886185
4,3302002,93.82191936062932,4.739542189781787
6,3302002,93.82191936062932,42.29141874930065
1,3302003,98.05137028367845,0.12100624917366076
2,3302003,94.31716973737446,0.48191250061790925
4,3302003,94.13020323336562,4.7516453105345136
6,3302003,94.1394660025835,42.47265155936475
1,3302004,117.35150678655187,0.13185312309360597
2,3302004,106.58847241712371,0.5018328229198232
4,3302004,103.95313248912728,4.7981093757698545
6,3302004,100.88439630270004,42.332667186201434
1,3302005,84.67100823680549,0.1330562499788357
2,3302005,82.99078604578972,0.4919062503176974
4,3302005,82.87787792086601,4.7944999914761866
6,3302005,82.76157519221306,43.46598749543773
1,3302006,114.55764801164347,0.12508437430369668
2,3302006,109.60840175912632,0.4901859356323257
4,3302006,101.7929928403609,4.777745307364967
6,3302006,101.79218392378196,42.19757656028378
1,3302007,113.19149471167894,0.121178121844423
2,3302007,101.39929117920276,0.49609843335929327
4,3302007,94.61119725043176,4.753717184939887
6,3302007,93.74568462477382,42.393032812469755
1,3302008,111.40720396421361,0.12998438069189433
2,3302008,103.48503928085194,0.4886562546744244
4,3302008,101.38643967753221,4.736956238048151
6,3302008,99.32204912751914,42.82129062448803
1,3302009,88.75236915796995,0.12287187564652413
2,3302009,83.20427165180445,0.5051937496318715
4,3302009,82.80849839001894,4.790571872945293
6,3302009,77.18115250021219,42.40575780750078
1,3302010,100.76809589276124,0.12394061923259869
2,3302010,98.15563217699528,0.48498281103093177
4,3302010,96.5732798665762,4.760032814374426
6,3302010,93.70886916816235,42.29336718344712
1,3302011,86.9883866067211,0.12497500210884027
2,3302011,76.67127864062786,0.5091265647934051
4,3302011,73.88487236201763,4.80237188457977
6,3302011,73.88487236201763,42.03534842963563
1,3302012,100.01453376183031,0.12991406038054265
2,3302012,91.87531246794329,0.4953609368385514
4,3302012,85.56537468135357,4.8056250052468386
6,3302012,85.52623398005963,42.978546875019674
1,3302013,103.50338364933462,0.12456249169190414
2,3302013,97.38864497292464,0.4937281246384373
4,3302013,84.8562827333808,4.737921877676854
6,3302013,84.8562827333808,41.99364218584378
1,3302014,104.2656668006889,0.12221718679938931
2,3302014,95.66871515818109,0.5011578159610508
4,3302014,93.44478892683983,4.742889062981703
6,3302014,90.7112413585186,42.74570468442107
1,3302015,95.76434940654897,0.13141874842403922
2,3302015,82.94560813903809,0.5001187510060845
4,3302015,82.5094055980444,4.75447343342239
6,3302015,80.24834036827087,41.881143750288174
1,3302016,98.63079488024712,0.12412812975526322
2,3302016,93.15949674515481,0.47916405856085476
4,3302016,92.54246665899383,4.746943744976306
6,3302016,91.49812118089577,42.72620000119787
1,3302017,89.93854692886886,0.12517812865553424
2,3302017,86.67378506968728,0.48680468898965046
4,3302017,85.20029948949814,4.835931249544956
6,3302017,85.20029948949814,42.36360000868444
1,3302018,103.21121238986389,0.12193593647680245
2,3302018,96.52639282685573,0.49312656119582243
4,3302018,94.64387929227422,4.738435929539264
6,3302018,94.3936942011118,41.988965625932906
1,3302019,95.80761333514347,0.11960624760831706
2,3302019,87.68664779663087,0.4893609420832945
4,3302019,85.50916829109192,4.718085925560445
6,3302019,85.50916829109192,41.84678125056962
1,3303000,88.90807131221773,0.12438593694241717
2,3303000,88.66476263178791,0.5001374993298668
4,3303000,88.46226599652752,4.773634380399017
6,3303000,88.38588255870441,42.010146882603294
1,3303001,78.60677226632833,0.12311093632888515
2,3303001,76.97143588960171,0.5004328068025643
4,3303001,75.86571191251278,4.80228124979476
6,3303001,73.40048860013485,41.66266250649642
1,3303002,99.9674736897214,0.1280218712054193
2,3303002,97.0713804882653,0.4969453057128703
4,3303002,96.92890636793507,4.776203117216937
6,3303002,98.79582179059572,42.167164052443695
1,3303003,96.50480156171648,0.13080000280751847
2,3303003,84.96108192002154,0.4945187502016779
4,3303003,84.6871417477727,4.720095314041828
6,3303003,84.33648190051318,42.130815623750095
1,3303004,76.44816228747368,0.12999999671592377
2,3303004,72.6707733720541,0.4908187511318829
4,3303004,72.6707733720541,4.715975008366513
6,3303004,72.64818790555,41.98001250551897
1,3303005,118.49301818053667,0.127664063256816
2,3303005,110.19477703424518,0.48084999980346765
4,3303005,103.51925789139479,4.80523906480812
6,3303005,102.30814197063447,42.57894374495663
1,3303006,96.77621054806124,0.12362812776700594
2,3303006,94.99778202761965,0.49482656140753534
4,3303006,90.88165191236797,4.802984378329711
6,3303006,90.78827026907268,42.48820469001657
1,3303007,102.89991728258617,0.1276843777304748
2,3303007,101.4936368571341,0.4965218795405235
4,3303007,98.94531661272049,4.784982817000127
6,3303007,96.5438949227333,42.341795304309926
1,3303008,108.50430971320897,0.12397187856549863
2,3303008,104.61272618197617,0.4984062470612116
4,3303008,104.51954657733441,4.775357811013237
6,3303008,104.46891696155072,42.62442969775293
1,3303009,97.80268325346685,0.12812187196686864
2,3303009,92.70090074471801,0.5013781192246825
4,3303009,90.50165686766017,4.780179689987563
6,3303009,90.23263990410979,42.80608437329647
1,3303010,92.08845636369549,0.12783905913238414
2,3303010,89.926851195074,0.4853781265410362
4,3303010,87.34477387368679,4.824496880246443
6,3303010,87.03940676152706,42.450209368325886
1,3303011,100.48743798715824,0.12053437421855051
2,3303011,84.4459138981868,0.5184328147151973
4,3303011,80.01529742777348,4.778559368787683
6,3303011,80.01529742777348,42.19489998831705
1,3303012,94.14866165784464,0.13161250353732612
2,3303012,83.04886722117662,0.4983078088116599
4,3303012,83.04886722117662,4.890359363344032
6,3303012,82.26912700682878,42.60194061862421
1,3303013,99.96640331241193,0.13094844871375244
2,3303013,93.37373510128181,0.504381254359032
4,3303013,92.8504284067145,4.864820308284834
6,3303013,92.8504284067145,42.88698437085259
1,3303014,91.48673794415562,0.13631249748868868
2,3303014,87.4797527364506,0.49480624875286594
4,3303014,78.5941596776247,4.797776557097677
6,3303014,78.72466019151756,42.51528592976683
1,3303015,107.19578109828467,0.1388687414873857
2,3303015,102.13729708785826,0.5185265545151196
4,3303015,100.78675689007062,4.828212502616225
6,3303015,99.77672396982136,42.564707808196545
1,3303016,71.3930274322629,0.12485781189752743
2,3303016,66.48664154857397,0.49138906615553424
4,3303016,64.14168434590101,4.751210939502926
6,3303016,63.61105873435736,42.43872655752057
1,3303017,99.83053255975811,0.126151557196863
2,3303017,95.8924971818924,0.4873515572398901
4,3303017,95.11526891589165,4.725551558294683
6,3303017,94.54163181781769,42.052390626849956
1,3303018,82.39868901337444,0.13532655793824233
2,3303018,80.99519745867907,0.5045109319326002
4,3303018,78.97122652083635,4.74281093920581
6,3303018,78.39019817858934,42.62115938217903
1,3303019,131.27878568870764,0.1409359338140348
2,3303019,113.83457256383802,0.495578129630303
4,3303019,108.93870470184196,4.801496879736078
6,3303019,107.88194636404515,43.751715626058285
1,3304000,106.09270559121023,0.12548437734949403
