profile,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
heat_plus20,mpc_h4,818,90.34198536709339,27.438507274538278,62.90347811341674,1.5781448370311408,17035.182609844207,1427.8479764446615,0.0,28.15,1.2,1.05,314.48480498511344,0.19031691998243333,0.0,0.0,0.00546875,0.565625,0.42890625
heat_plus20,mpc_h4,819,88.43581457683152,27.182237730547786,61.253576913338954,1.5799987332895398,16999.19597978592,1460.6416345432401,0.0,27.8,1.4,1.3,309.86921010771766,0.19076598435640335,0.0,0.0,0.003125,0.57421875,0.42265625
heat_plus20,standard_dqn,800,77.32786588802934,27.52385242767632,49.80401345662773,1.4734710174612702,15858.65640258789,977.2656061500311,0.0,23.55,0.0,1.4,0.0,0.19216161072254181,0.0,0.0,0.0,0.34765625,0.65234375
heat_plus20,standard_dqn,801,79.81160144992172,29.04732911735773,50.764272313565016,1.4899084586650133,16277.126272964477,719.3064850628376,0.0,24.1,0.0,1.1,0.0,0.19388215988874435,0.0,0.0,0.0,0.1890625,0.8109375
heat_plus20,standard_dqn,802,78.31753376297652,28.457503486424685,49.86003025755286,1.48800965026021,16307.315973758698,921.6167019501329,0.0,23.25,0.0,1.2,0.0,0.19094585627317429,0.0,0.0,0.01015625,0.3203125,0.66953125
heat_plus20,standard_dqn,803,75.76482139013709,27.86949777416885,47.895323621183636,1.4625634180381895,15726.828080749512,831.0681307457387,0.0,22.85,0.0,0.8,0.0,0.19364005327224731,0.0,0.0,0.00703125,0.271875,0.72109375
heat_plus20,standard_dqn,804,77.62439306095243,28.536767465993762,49.08762556031346,1.47567192283459,15966.867817401886,737.3984925925731,0.0,23.6,0.0,1.25,0.0,0.1932789884507656,0.0,0.0,0.0015625,0.20390625,0.79453125
heat_plus20,standard_dqn,805,78.82815219290555,28.905595726519824,49.92255643360316,1.4953421897720545,16342.771356391906,870.8027156464756,0.0,23.6,0.0,1.5,0.0,0.19119644910097122,0.0,0.0,0.009375,0.26640625,0.72421875
heat_plus20,standard_dqn,806,79.1030982683599,28.996730145439507,50.1063681076467,1.4836391911376268,16219.717599010468,830.3328933104873,0.0,23.5,0.0,1.2,0.0,0.19306416660547257,0.0,0.0,0.0140625,0.253125,0.7328125
heat_plus20,standard_dqn,807,80.41043183229864,29.212322734668852,51.198109160959724,1.487006555404514,16222.833203792572,703.8825186848641,0.0,24.0,0.0,1.0,0.0,0.19355927109718324,0.0,0.0,0.0,0.17890625,0.82109375
heat_plus20,standard_dqn,808,80.3348149470985,29.046936097368597,51.28787893280387,1.4908046464435756,16255.320378494263,834.3832649700344,0.0,24.3,0.0,1.2,0.0,0.19223515465855598,0.0,0.0,0.034375,0.23671875,0.72890625
heat_plus20,standard_dqn,809,81.12468258403241,28.433680986613034,52.69100170955062,1.4908812516368926,16228.948424053193,946.9960793167353,0.0,24.6,0.0,1.8,0.0,0.19267438650131224,0.0,0.0,0.0,0.3140625,0.6859375
heat_plus20,standard_dqn,810,75.60268647730351,26.874333353340624,48.72835312582552,1.481534623540938,15873.401852607727,1133.0409818947314,0.0,23.55,0.0,1.45,0.0,0.1916562184691429,0.0,0.0,0.0,0.42890625,0.57109375
heat_plus20,standard_dqn,811,80.14547916054725,28.825120778009296,51.32035836316645,1.4871954757720232,16116.264941883088,757.0255427658558,0.0,24.45,0.0,1.55,0.0,0.19163963124155997,0.0,0.0,0.0,0.20234375,0.79765625
heat_plus20,standard_dqn,812,75.08429325938225,27.891055772081017,47.19323747128248,1.475924148829654,16057.480739116669,1000.6486143797636,0.0,22.55,0.0,1.7,0.0,0.19322874993085862,0.0,0.0,0.0,0.35703125,0.64296875
heat_plus20,standard_dqn,813,77.82003215573728,28.102502551302315,49.717529611513015,1.490118076838553,16181.833662986755,985.9429086744785,0.0,23.8,0.0,1.5,0.0,0.19186580628156663,0.0,0.0,0.0,0.34296875,0.65703125
heat_plus20,standard_dqn,814,78.38691451147199,27.87360359951854,50.51331086277962,1.4908440649975092,16270.761961364746,1139.8664142400025,0.0,23.5,0.0,1.4,0.0,0.19183053597807884,0.0,0.0,0.0,0.434375,0.565625
heat_plus20,standard_dqn,815,81.39634306930006,29.29340577721596,52.102937264144416,1.4944425988011063,16252.519049263,706.6076161053031,0.0,24.15,0.0,0.7,0.0,0.19314506500959397,0.0,0.0,0.009375,0.165625,0.825
heat_plus20,standard_dqn,816,75.19674693882465,26.998013792932035,48.198733083307744,1.4908405947964638,16068.518767929078,1149.7101396679877,0.0,22.7,0.0,1.45,0.0,0.19183861911296846,0.0,0.0,0.003125,0.44296875,0.55390625
heat_plus20,standard_dqn,817,78.46990887068213,28.54561442732811,49.92429426714778,1.4812228764872999,16126.570814418792,822.8466074883938,0.0,23.75,0.0,1.1,0.0,0.19175819233059882,0.0,0.0,0.0,0.24765625,0.75234375
heat_plus20,standard_dqn,818,78.02622903771699,28.485612589865923,49.540616472437975,1.469418095657602,15934.413437652587,784.9724230229855,0.0,23.75,0.0,1.15,0.0,0.19256771728396416,0.0,0.0,0.0,0.24453125,0.75546875
heat_plus20,standard_dqn,819,78.42478658281267,29.136085519380867,49.28870115600527,1.4813860157039016,16193.705239391327,724.0036391794681,0.0,23.05,0.0,0.85,0.0,0.19274666756391526,0.0,0.0,0.0,0.19296875,0.80703125
link_minus20,immediate_argmin,800,253.23259199932758,28.929403575882315,224.30318843164096,2.039402991021052,23282.987318229676,1797.346630731225,0.0,35.7,38.7,2.3,0.0,0.19066066667437553,0.0,0.0,0.0,0.759375,0.240625
link_minus20,immediate_argmin,801,255.74739623137845,29.19945985972881,226.54793636866944,2.073093782737851,23798.778673934936,1829.0007157027721,0.0,35.1,39.25,3.05,0.0,0.190092995762825,0.0,0.0,0.0,0.771875,0.228125
link_minus20,immediate_argmin,802,258.9858414377847,29.478650372475386,229.5071910660544,2.081871551880613,23860.800326919554,1833.1340797409416,0.0,36.7,39.35,2.3,0.0,0.1900545537471771,0.0,0.0,0.00078125,0.7609375,0.23828125
link_minus20,immediate_argmin,803,248.7579867064871,28.871695267781615,219.88629143721542,2.0440699010156096,23264.45473127365,1779.368298536539,0.0,36.0,39.95,1.9,0.0,0.19014043286442756,0.0,0.0,0.00078125,0.75078125,0.2484375
link_minus20,immediate_argmin,804,258.34964876159825,28.725397412478923,229.62425133570832,2.0601794883608817,23552.534247016905,1823.0799233585597,0.0,36.1,40.05,2.7,0.0,0.19068318232893944,0.0,0.0,0.0,0.77578125,0.22421875
link_minus20,immediate_argmin,805,255.75064059691766,29.50684353634715,226.2437970441793,2.128084733011201,24457.60001296997,1873.0142774268984,0.0,35.85,38.35,2.6,0.0,0.18996869027614594,0.0,0.0,0.00078125,0.7734375,0.22578125
link_minus20,immediate_argmin,806,252.01360662872966,29.236714990064502,222.77689163792016,2.0627406978514045,23627.1251701355,1843.6170599937439,0.0,35.7,39.45,2.5,0.0,0.19068423062562942,0.0,0.0,0.00078125,0.76953125,0.2296875
link_minus20,immediate_argmin,807,270.4150320917742,29.235023394227028,241.18000870648794,2.0953154084738346,24087.462163162232,1885.8876194477082,0.0,36.15,42.4,2.6,0.0,0.1902528591454029,0.0,0.0,0.00078125,0.8015625,0.19765625
link_minus20,immediate_argmin,808,272.7337303366755,29.35339229442179,243.38033804150868,2.100864175055176,24161.70531387329,1874.4921033322812,0.0,37.25,43.3,2.2,0.0,0.19069549515843393,0.0,0.0,0.0,0.79140625,0.20859375
link_minus20,immediate_argmin,809,260.65737708720616,29.38108980357647,231.27628728288465,2.0816409276798367,23888.905254650115,1850.3410531818868,0.0,36.1,41.25,2.8,0.0,0.18996432274580002,0.0,0.0,0.0,0.77421875,0.22578125
link_minus20,immediate_argmin,810,251.30545159988827,28.661405197903512,222.64404639602435,2.029293501423672,23087.63055229187,1793.3071260988713,0.0,35.5,39.0,2.2,0.0,0.19025125727057457,0.0,0.0,0.0,0.7609375,0.2390625
link_minus20,immediate_argmin,811,262.0528495909136,29.403589007630945,232.64926057657718,2.0902364421635866,23989.200707626344,1831.6393271252514,0.0,36.0,40.9,2.75,0.0,0.19034552052617074,0.0,0.0,0.00078125,0.7671875,0.23203125
link_minus20,immediate_argmin,812,244.88347826780978,29.129252989590167,215.75422527970977,2.0563250401988626,23520.44148979187,1805.9368491262198,0.0,35.2,37.5,2.25,0.0,0.19030143916606904,0.0,0.0,0.0,0.7578125,0.2421875
link_minus20,immediate_argmin,813,244.0298622223344,29.09703999310732,214.93282222624686,2.046415272774175,23337.402607345583,1814.3964391112327,0.0,35.4,37.95,2.6,0.0,0.19053050577640535,0.0,0.0,0.0,0.75234375,0.24765625
link_minus20,immediate_argmin,814,250.20062681396854,28.96822543144226,221.23240138327134,2.0551131278276444,23430.394150161745,1858.7954490974546,0.0,35.1,38.65,2.45,0.0,0.19031768813729286,0.0,0.0,0.00078125,0.76640625,0.2328125
link_minus20,immediate_argmin,815,251.22052689458346,29.066968260332942,222.15355863723076,2.0533367742784323,23428.394528102875,1810.3905268579722,0.0,35.95,38.75,1.8,0.0,0.1907609760761261,0.0,0.0,0.0,0.7546875,0.2453125
