scenario,policy,model_seed,mean_difference,dqn_total_cost,mpc_total_cost,n_traces
energy_limited,centered_full_action_dqn,813,-6.077276240685611,119.90248437263071,125.97976061331633,20
energy_limited,centered_full_action_dqn,814,-7.438348655367622,117.4138889554143,124.85223761078191,20
energy_limited,centered_full_action_dqn,815,-6.297972566066085,119.7621468662098,126.06011943227588,20
energy_limited,centered_full_action_dqn,816,-6.665440303856693,116.16721045061948,122.83265075447616,20
energy_limited,centered_full_action_dqn,817,-9.399625876650033,119.00407302401962,128.40369890066964,20
energy_limited,centered_full_action_dqn,818,-7.159954188570788,118.10635648079217,125.26631066936295,20
energy_limited,centered_full_action_dqn,819,-3.4378179572607386,120.28934960663318,123.72716756389393,20
energy_limited,double_centered_full_action_dqn,800,-6.8738367238559075,119.40061755955219,126.27445428340812,20
energy_limited,double_centered_full_action_dqn,801,-4.921803388719875,121.54222256012261,126.46402594884248,20
energy_limited,double_centered_full_action_dqn,802,-7.374596160211107,119.73636196322738,127.1109581234385,20
energy_limited,double_centered_full_action_dqn,803,-7.923013034636907,116.94438011310994,124.86739314774687,20
energy_limited,double_centered_full_action_dqn,804,-5.381702694479881,119.64732756003738,125.02903025451727,20
energy_limited,double_centered_full_action_dqn,805,-7.740136242709111,118.18456074237824,125.92469698508735,20
energy_limited,double_centered_full_action_dqn,806,-7.378318498625565,118.50735914811492,125.88567764674049,20
energy_limited,double_centered_full_action_dqn,807,-6.0263368206772014,120.51756921269,126.5439060333672,20
energy_limited,double_centered_full_action_dqn,808,-7.866772520644972,121.19512702450156,129.06189954514656,20
energy_limited,double_centered_full_action_dqn,809,-6.575792436924425,121.61182442389429,128.1876168608187,20
energy_limited,double_centered_full_action_dqn,810,-7.871969484857454,116.67789367862046,124.54986316347791,20
energy_limited,double_centered_full_action_dqn,811,-8.00928591362011,119.87976040802896,127.88904632164906,20
energy_limited,double_centered_full_action_dqn,812,-7.713384542060737,117.33934553988279,125.05273008194351,20
energy_limited,double_centered_full_action_dqn,813,-5.899292783835562,120.08046782948077,125.97976061331633,20
energy_limited,double_centered_full_action_dqn,814,-7.01914932664705,117.83308828413487,124.85223761078191,20
energy_limited,double_centered_full_action_dqn,815,-5.608231969056426,120.45188746321946,126.06011943227588,20
energy_limited,double_centered_full_action_dqn,816,-8.152360925773348,114.6802898287028,122.83265075447616,20
energy_limited,double_centered_full_action_dqn,817,-9.251076760768708,119.15262213990093,128.40369890066964,20
energy_limited,double_centered_full_action_dqn,818,-6.943574302152209,118.32273636721075,125.26631066936295,20
energy_limited,double_centered_full_action_dqn,819,-4.016980632775556,119.71018693111837,123.72716756389393,20
energy_limited,double_dqn,800,-7.08907317056435,119.18538111284374,126.27445428340812,20
energy_limited,double_dqn,801,-6.627697667007761,119.83632828183472,126.46402594884248,20
energy_limited,double_dqn,802,-6.666033443518418,120.44492467992009,127.1109581234385,20
energy_limited,double_dqn,803,-3.9646612333383473,120.90273191440852,124.86739314774687,20
energy_limited,double_dqn,804,-4.068221626017752,120.9608086284995,125.02903025451727,20
energy_limited,double_dqn,805,-7.238292568079186,118.68640441700816,125.92469698508735,20
energy_limited,double_dqn,806,-4.70022547808211,121.18545216865837,125.88567764674049,20
energy_limited,double_dqn,807,-6.474994939819256,120.06891109354794,126.5439060333672,20
energy_limited,double_dqn,808,-6.327799809826922,122.73409973531962,129.06189954514656,20
energy_limited,double_dqn,809,-5.715327113446444,122.47228974737227,128.1876168608187,20
energy_limited,double_dqn,810,-7.857835694424049,116.69202746905387,124.54986316347791,20
energy_limited,double_dqn,811,-6.195409510720486,121.6936368109286,127.88904632164906,20
energy_limited,double_dqn,812,-6.829955657390599,118.22277442455292,125.05273008194351,20
energy_limited,double_dqn,813,-5.926606976190244,120.05315363712609,125.97976061331633,20
energy_limited,double_dqn,814,-7.315670682380332,117.53656692840158,124.85223761078191,20
energy_limited,double_dqn,815,-0.32282902914076816,125.73729040313512,126.06011943227588,20
energy_limited,double_dqn,816,-8.092193924958073,114.74045682951808,122.83265075447616,20
energy_limited,double_dqn,817,-9.258681206062258,119.14501769460738,128.40369890066964,20
energy_limited,double_dqn,818,-6.398185881629992,118.86812478773297,125.26631066936295,20
energy_limited,double_dqn,819,-1.3844745300794954,122.34269303381443,123.72716756389393,20
energy_limited,full_action_q_dqn,800,-7.111719276524363,119.16273500688374,126.27445428340812,20
energy_limited,full_action_q_dqn,801,-5.167241886605938,121.29678406223654,126.46402594884248,20
energy_limited,full_action_q_dqn,802,-5.642522386916418,121.46843573652208,127.1109581234385,20
energy_limited,full_action_q_dqn,803,-7.960756104240943,116.90663704350591,124.86739314774687,20
energy_limited,full_action_q_dqn,804,-3.6399897212875523,121.38904053322972,125.02903025451727,20
energy_limited,full_action_q_dqn,805,-7.669761958695005,118.25493502639233,125.92469698508735,20
energy_limited,full_action_q_dqn,806,-6.245917803465536,119.63975984327494,125.88567764674049,20
energy_limited,full_action_q_dqn,807,-6.424693585440794,120.1192124479264,126.5439060333672,20
energy_limited,full_action_q_dqn,808,-7.2600759128019305,121.8018236323446,129.06189954514656,20
energy_limited,full_action_q_dqn,809,-5.545140854146924,122.64247600667179,128.1876168608187,20
energy_limited,full_action_q_dqn,810,-7.513891654259697,117.03597150921821,124.54986316347791,20
energy_limited,full_action_q_dqn,811,-2.85955280161273,125.02949352003634,127.88904632164906,20
energy_limited,full_action_q_dqn,812,-7.8591749594041165,117.1935551225394,125.05273008194351,20
energy_limited,full_action_q_dqn,813,-4.867801620760587,121.11195899255574,125.97976061331633,20
energy_limited,full_action_q_dqn,814,-7.672152695509027,117.18008491527289,124.85223761078191,20
energy_limited,full_action_q_dqn,815,-5.242020463971192,120.81809896830468,126.06011943227588,20
energy_limited,full_action_q_dqn,816,-7.896229783469998,114.93642097100614,122.83265075447616,20
energy_limited,full_action_q_dqn,817,-8.998120858326374,119.40557804234327,128.40369890066964,20
energy_limited,full_action_q_dqn,818,-5.8922545502636945,119.37405611909927,125.26631066936295,20
energy_limited,full_action_q_dqn,819,-2.823044152193795,120.90412341170013,123.72716756389393,20
energy_limited,immediate_advantage_dqn,800,-5.598297206527766,120.67615707688034,126.27445428340812,20
energy_limited,immediate_advantage_dqn,801,-8.007109028374273,118.45691692046822,126.46402594884248,20
energy_limited,immediate_advantage_dqn,802,-5.992785091780563,121.11817303165795,127.1109581234385,20
energy_limited,immediate_advantage_dqn,803,-8.2048108463239,116.66258230142296,124.86739314774687,20
energy_limited,immediate_advantage_dqn,804,-4.190733225230632,120.83829702928662,125.02903025451727,20
energy_limited,immediate_advantage_dqn,805,-8.236671631908965,117.68802535317839,125.92469698508735,20
energy_limited,immediate_advantage_dqn,806,-6.325096662982516,119.56058098375797,125.88567764674049,20
energy_limited,immediate_advantage_dqn,807,-5.8182935720982965,120.72561246126891,126.5439060333672,20
energy_limited,immediate_advantage_dqn,808,-9.307328824578233,119.75457072056831,129.06189954514656,20
energy_limited,immediate_advantage_dqn,809,-6.919115055975169,121.26850180484355,128.1876168608187,20
energy_limited,immediate_advantage_dqn,810,-7.923658857441683,116.62620430603624,124.54986316347791,20
energy_limited,immediate_advantage_dqn,811,-5.293929487157577,122.5951168344915,127.88904632164906,20
energy_limited,immediate_advantage_dqn,812,-8.65095281836176,116.40177726358176,125.05273008194351,20
energy_limited,immediate_advantage_dqn,813,-5.922111691185863,120.05764892213047,125.97976061331633,20
energy_limited,immediate_advantage_dqn,814,-7.677260658482439,117.17497695229947,124.85223761078191,20
energy_limited,immediate_advantage_dqn,815,-5.317880320912001,120.74223911136389,126.06011943227588,20
energy_limited,immediate_advantage_dqn,816,-8.295171690011585,114.53747906446456,122.83265075447616,20
energy_limited,immediate_advantage_dqn,817,-9.380980806827365,119.02271809384226,128.40369890066964,20
energy_limited,immediate_advantage_dqn,818,-7.213133381486342,118.05317728787661,125.26631066936295,20
energy_limited,immediate_advantage_dqn,819,-2.3681239284659723,121.35904363542795,123.72716756389393,20
energy_limited,standard_dqn,800,-7.167541673249779,119.10691261015832,126.27445428340812,20
energy_limited,standard_dqn,801,-5.600542359029372,120.86348358981311,126.46402594884248,20
energy_limited,standard_dqn,802,-6.7695862687457975,120.3413718546927,127.1109581234385,20
energy_limited,standard_dqn,803,-6.547548163334659,118.3198449844122,124.86739314774687,20
energy_limited,standard_dqn,804,-3.949051735807717,121.07997851870955,125.02903025451727,20
energy_limited,standard_dqn,805,-7.671083804867221,118.25361318022013,125.92469698508735,20
energy_limited,standard_dqn,806,-6.62185084146183,119.26382680527865,125.88567764674049,20
energy_limited,standard_dqn,807,-5.945107511312051,120.59879852205515,126.5439060333672,20
energy_limited,standard_dqn,808,-5.981949359728406,123.07995018541813,129.06189954514656,20
energy_limited,standard_dqn,809,-6.5520154521881055,121.6356014086306,128.1876168608187,20
energy_limited,standard_dqn,810,-7.867016963458793,116.68284620001911,124.54986316347791,20
energy_limited,standard_dqn,811,-5.965801228571647,121.92324509307741,127.88904632164906,20
energy_limited,standard_dqn,812,-7.553902873960974,117.49882720798254,125.05273008194351,20
energy_limited,standard_dqn,813,-6.85507175604406,119.12468885727228,125.97976061331633,20
