file,sha256,variant,model_seed,episodes,horizon,training_steps,state_dim,bellman_target,replay,training_wall_time_s,optimizer_updates,preview_calls,preview_action_evaluations
contextual_bandit__gamma_0__seed_810.pth,470aefb8d64bce4f477995eacf25916ce05f8eb40ef98011c28249a1bb04594c,contextual_bandit,810,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,34.568357400014065,9569,0,0
contextual_bandit__gamma_0__seed_811.pth,e33b4ae5ac91d57a624f0c50032f6a2f0320b866feaf5e9295d2b97c1cd769b3,contextual_bandit,811,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,39.58012170006987,9569,0,0
contextual_bandit__gamma_0__seed_812.pth,1aae578ee56d3d66edf62b18618d54f0c1b48d1e05c082362c5e06e0da46c119,contextual_bandit,812,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,34.39764079998713,9569,0,0
contextual_bandit__gamma_0__seed_813.pth,8b8c9daa30d3360049f6f072d2958a7915325fd0ac47bcb1f0651257d0068e72,contextual_bandit,813,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,34.9120799000375,9569,0,0
contextual_bandit__gamma_0__seed_814.pth,75d144b265ed97863b8f9bacb7d9a73cb48a37b7af7ed24f22cb3dd9b52b8167,contextual_bandit,814,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,39.40771780000068,9569,0,0
contextual_bandit__gamma_0__seed_815.pth,34e43abb6151260064c6d30db9d791a64e340ca07aa3f058ae89e9bb4aec6986,contextual_bandit,815,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,34.538078299956396,9569,0,0
contextual_bandit__gamma_0__seed_816.pth,75c07837fa460c1cdebe77ef9f30ff7dab9594a7a09617dfabeb60fe2cebea94,contextual_bandit,816,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,37.95251659990754,9569,0,0
contextual_bandit__gamma_0__seed_817.pth,473cb4ea17c4f9e677594bbb0832a074d98c4d5a10a3a66f78163e3c5b27b56f,contextual_bandit,817,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,40.53248019993771,9569,0,0
contextual_bandit__gamma_0__seed_818.pth,1488f12a3b3fe0c3acee99f93f217f9575f6f82946db2288c081bf91debebe82,contextual_bandit,818,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,34.09724879998248,9569,0,0
contextual_bandit__gamma_0__seed_819.pth,a9f90062c1365a315ca9491993c33640d47f5e3a7cc9d10b1aabb7917c5c09c8,contextual_bandit,819,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,41.50961539999116,9569,0,0
double_centered_full_action_dqn__double_lambda_0p3__seed_800.pth,49fae4a72492b5fcb2f9eedf17f51780dbdd03d09042e77f87594189439fb79f,double_centered_full_action_dqn,800,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,52.913881200016476,9569,38400,115200
