scenario,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
burst,centered_full_action_dqn,808,98.53017394840717,32.073455864936115,66.45671799629926,1.582101134536788,17939.661026763915,881.4053931325674,0.0,29.2,0.0,1.1,0.0,0.19237195923924447,0.0,0.0,0.0,0.2296875,0.7703125
burst,centered_full_action_dqn,809,100.9721283581853,32.25167137496173,68.72045713037252,1.599668507371098,18264.781196784974,1051.0266594320535,0.0,30.0,0.0,1.55,0.0,0.19066757336258888,0.0,0.0,0.0,0.3296875,0.6703125
burst,centered_full_action_dqn,810,95.22215262271465,30.58709013275802,64.63506252087653,1.5757897000294179,17623.886202526093,1118.2694064706563,0.0,28.35,0.0,1.3,0.0,0.19124685004353523,0.0,0.0,0.0046875,0.36875,0.6265625
burst,centered_full_action_dqn,811,99.0085504361987,32.0517403755337,66.95681014820933,1.585986602352932,17967.43017549515,908.230340245366,0.0,29.2,0.0,1.7,0.0,0.1912330262362957,0.0,0.0,0.0,0.24296875,0.75703125
burst,centered_full_action_dqn,812,93.65987975180148,31.064605720341206,62.595273997932665,1.580326819140464,17915.76020555496,1142.7920452803373,0.0,27.95,0.0,1.85,0.0,0.1916298560798168,0.0,0.0,0.0,0.38828125,0.61171875
burst,centered_full_action_dqn,813,97.97947231516243,31.844745783507825,66.13472653128207,1.5885759517084808,18025.471439170837,996.2422896504402,0.0,29.05,0.0,1.45,0.0,0.19133980050683022,0.0,0.0,0.003125,0.30546875,0.69140625
burst,centered_full_action_dqn,814,96.52497905127704,31.819677708297966,64.705301303491,1.5871899741701783,18066.864647102357,1118.7769762091339,0.0,28.65,0.0,1.5,0.0,0.1919008530676365,0.0,0.0,0.01796875,0.36796875,0.6140625
burst,centered_full_action_dqn,815,97.16506685007364,31.283436450921,65.88163030564786,1.5846307954750956,17889.26789417267,1008.6305754065513,0.0,28.9,0.0,0.75,0.0,0.19287444427609443,0.0,0.0,0.0,0.30390625,0.69609375
burst,centered_full_action_dqn,816,93.17137848772109,30.842332129925488,62.329046328365806,1.5595256362576038,17459.94965877533,978.9715714722872,0.0,27.7,0.0,0.95,0.0,0.19127045348286628,0.0,0.0,0.0,0.2984375,0.7015625
burst,centered_full_action_dqn,817,96.42698187306523,31.699405743181707,64.72757607623934,1.5748828127514571,17866.879413700102,953.9923313945532,0.0,28.4,0.0,1.25,0.0,0.19125127121806146,0.0,0.0,0.0,0.28125,0.71875
burst,centered_full_action_dqn,818,97.64800329685212,31.34360522516072,66.30439820654689,1.58119565541856,17838.423192501068,1054.827058827877,0.0,28.95,0.0,1.35,0.0,0.19142053574323653,0.0,0.0,0.0,0.34375,0.65625
burst,centered_full_action_dqn,819,95.46395205020904,32.29608744997531,63.167864644005896,1.5746609366964548,17946.191415786743,828.9348291873932,0.0,28.05,0.0,0.95,0.0,0.19242409914731978,0.0,0.0,0.0,0.21875,0.78125
burst,full_action_q_dqn,800,97.06624328516423,31.263167144730687,65.80307610504329,1.5722482387907804,17708.714008903502,1012.4012984246016,0.0,28.85,0.0,1.35,0.0,0.19192990362644197,0.0,0.0,0.0,0.31953125,0.68046875
burst,full_action_q_dqn,801,99.18303461372852,32.80191590040922,66.38111866563558,1.5935367047321052,18267.94497432709,785.4787177026271,0.0,28.95,0.0,1.1,0.0,0.1936018466949463,0.0,0.0,0.009375,0.19375,0.796875
burst,full_action_q_dqn,802,96.473838160187,32.009529646858574,64.46430865824223,1.579301591636613,17948.372589015962,902.1300586938858,0.0,28.65,0.0,1.25,0.0,0.19062386229634284,0.0,0.0,0.0,0.2578125,0.7421875
burst,full_action_q_dqn,803,93.95308481812478,30.741507616639137,63.211577163487675,1.5655319867189974,17452.5278345108,1051.4279055140912,0.0,28.3,0.0,0.85,0.0,0.19201093912124634,0.0,0.0,0.00390625,0.334375,0.66171875
burst,full_action_q_dqn,804,97.59351962082089,32.22017761431634,65.37334200501442,1.5837404617574067,18115.485965061187,917.2806891165674,0.0,29.0,0.0,1.35,0.0,0.19290023520588875,0.0,0.0,0.05,0.26953125,0.68046875
burst,full_action_q_dqn,805,98.63071487098932,32.738270954042676,65.89244390577078,1.6005255604628474,18352.14648189545,942.8281675003469,0.0,28.8,0.0,1.4,0.0,0.1910155400633812,0.0,0.0,0.01015625,0.27265625,0.7171875
burst,full_action_q_dqn,806,97.18727413445711,32.41836234740913,64.76891165927051,1.582163357688114,18012.0840215683,942.9014570645988,0.0,28.25,0.0,1.45,0.0,0.1931159347295761,0.0,0.0,0.01953125,0.26484375,0.715625
burst,full_action_q_dqn,807,97.31488339103758,32.117244376987216,65.19763889446855,1.5795190323609858,17886.098602199556,848.9870577126742,0.0,28.55,0.0,1.25,0.0,0.1924747109413147,0.0,0.0,0.0,0.21953125,0.78046875
burst,full_action_q_dqn,808,98.24863791413605,31.582817256450653,66.66582069605589,1.5889825470745564,17999.616879081725,1039.6281046822667,0.0,29.1,0.0,1.45,0.0,0.19223972260951996,0.0,0.0,0.003125,0.31796875,0.67890625
burst,full_action_q_dqn,809,100.9877663898468,32.2584664080292,68.72929994791745,1.5969547040294856,18155.11311416626,977.6128485888242,0.0,29.8,0.0,1.6,0.0,0.1920953206717968,0.0,0.0,0.0,0.2796875,0.7203125
burst,full_action_q_dqn,810,96.00727083064615,30.835497783124445,65.17177312090993,1.5755344514269383,17690.90215482712,1119.4474649831652,0.0,28.65,0.0,1.25,0.0,0.19153919741511344,0.0,0.0,0.01015625,0.375,0.61484375
burst,full_action_q_dqn,811,102.07387192621827,33.46670167706907,68.60717027187347,1.6085663391742855,18296.738097190857,653.6487324863672,0.0,29.6,0.0,1.1,0.0,0.19135271161794662,0.0,0.0,0.0,0.08671875,0.91328125
burst,full_action_q_dqn,812,93.5938756416738,31.23804007023573,62.35583564072847,1.5728541005868464,17761.595581150053,1077.3957752913236,0.0,28.0,0.0,1.8,0.0,0.19310044273734092,0.0,0.0,0.0,0.3453125,0.6546875
burst,full_action_q_dqn,813,98.54080972023309,32.45034511201084,66.09046454004944,1.5925807770807296,18098.438804912566,907.9190617252141,0.0,28.9,0.0,1.15,0.0,0.19161614030599594,0.0,0.0,0.02578125,0.24375,0.73046875
burst,full_action_q_dqn,814,96.25607842698693,31.53337558656931,64.72270277820527,1.582319231145084,17904.342143440248,1124.4985539101065,0.0,28.65,0.0,1.35,0.0,0.1916426993906498,0.0,0.0,0.003125,0.35859375,0.63828125
burst,full_action_q_dqn,815,98.20715307176114,32.25557539202273,65.9515776450932,1.6002148870844395,18490.792242145537,1095.7315499763936,0.0,29.05,0.0,0.85,0.0,0.19235630109906196,0.0,0.0,0.05,0.3703125,0.5796875
burst,full_action_q_dqn,816,92.86414256736637,30.598834002390504,62.26530865103007,1.5680275426246226,17569.882256889345,1098.8633628465236,0.0,27.7,0.0,1.15,0.0,0.19204717501997948,0.0,0.0,0.003125,0.36015625,0.63671875
burst,full_action_q_dqn,817,96.5266003305465,31.898943658918142,64.62765679568052,1.576371999643743,17839.31014690399,863.4142220765352,0.0,28.4,0.0,1.0,0.0,0.19166392162442208,0.0,0.0,0.0,0.221875,0.778125
burst,full_action_q_dqn,818,97.73774684987963,31.81874544136226,65.91900151990355,1.5737561827525497,17768.5278298378,925.5148880720138,0.0,28.8,0.0,1.3,0.0,0.19136463329195977,0.0,0.0,0.0,0.2703125,0.7296875
burst,full_action_q_dqn,819,95.81823573619127,32.313355405256154,63.50488028325141,1.5750254224520177,17917.282852745055,838.219047343731,0.0,28.2,0.0,0.85,0.0,0.19215555638074874,0.0,0.0,0.0,0.22109375,0.77890625
burst,immediate_advantage_dqn,800,97.58003959156574,31.484481592476367,66.09555806465447,1.5720148805063219,17595.212460899354,879.6813091307879,0.0,28.95,0.0,1.1,0.0,0.1919506959617138,0.0,0.0,0.0,0.2296875,0.7703125
burst,immediate_advantage_dqn,801,99.5402646818012,31.833638687804342,67.70662605509162,1.6061614696867763,18254.135601234437,1035.386734187603,0.0,29.4,0.0,1.6,0.0,0.19220687672495843,0.0,0.0,0.01484375,0.31796875,0.6671875
burst,immediate_advantage_dqn,802,96.90310327380897,32.09632811024785,64.80677511438728,1.581558166584,17930.355731868745,848.8234504938125,0.0,28.8,0.0,1.3,0.0,0.19103835374116898,0.0,0.0,0.0,0.21953125,0.78046875
burst,immediate_advantage_dqn,803,93.99870765067638,30.67110875993967,63.3275987957418,1.5664880281314253,17461.065029144287,1022.1239700376988,0.0,28.4,0.0,0.75,0.0,0.1924028918147087,0.0,0.0,0.0,0.31953125,0.68046875
burst,immediate_advantage_dqn,804,97.73657654844224,31.724165650084615,66.01241079628468,1.5794118099380285,17789.496873378754,842.7837052434683,0.0,29.15,0.0,1.15,0.0,0.19290023520588875,0.0,0.0,0.0,0.21171875,0.78828125
burst,immediate_advantage_dqn,805,98.56341583430768,31.684254219383,66.87916162349283,1.6085760655347259,18235.252668380737,1134.0136290103196,0.0,29.05,0.0,1.7,0.0,0.19147111997008323,0.0,0.0,0.0,0.359375,0.640625
burst,immediate_advantage_dqn,806,97.35340408556164,32.3041193023324,65.04928482532502,1.5892134091816843,17918.529897880555,906.3881210833788,0.0,28.4,0.0,1.25,0.0,0.19269534349441528,0.0,0.0,0.0,0.21875,0.78125
burst,immediate_advantage_dqn,807,98.53916252166033,32.60916552096605,65.92999710798264,1.5914951682090759,18015.48795118332,756.4839595079422,0.0,28.7,0.0,1.0,0.0,0.19336594715714456,0.0,0.0,0.0,0.15234375,0.84765625
burst,immediate_advantage_dqn,808,97.85475351378321,31.33091402836144,66.52383960798383,1.590006340574473,18025.053359508514,1095.6237815201282,0.0,29.1,0.0,1.4,0.0,0.19223972260951996,0.0,0.0,0.0,0.3515625,0.6484375
burst,immediate_advantage_dqn,809,100.85443688102067,32.0321619424969,68.82227515161037,1.599102843925357,18159.450102043153,1005.488441863656,0.0,29.9,0.0,1.4,0.0,0.19230415523052216,0.0,0.0,0.0,0.29140625,0.70859375
