scenario,policy,total_cost_mean,immediate_cost_mean,penalty_mean,energy_use_mean,latency_ms_mean,transmitted_mbit_mean,thermal_violation_mean,energy_violation_mean,queue_violation_mean,contact_violation_mean,planning_time_ms_mean,maximum_heat_mean,minimum_energy_mean,threshold_free_episode_mean,onboard_fraction_mean,ground_fraction_mean,hybrid_fraction_mean,total_cost_sd,immediate_cost_sd,penalty_sd,energy_use_sd,latency_ms_sd,transmitted_mbit_sd,thermal_violation_sd,energy_violation_sd,queue_violation_sd,contact_violation_sd,planning_time_ms_sd,maximum_heat_sd,minimum_energy_sd,threshold_free_episode_sd,onboard_fraction_sd,ground_fraction_sd,hybrid_fraction_sd,n_model_seeds
link_limited,centered_full_action_dqn_preview_1p15,101.93365474852175,31.74644825438969,70.18720649158954,1.7012353072827682,19873.712225055693,627.658048929777,0.0,30.192500000000003,0.0,0.8550000000000001,0.0,0.19284750398248435,0.0,0.0,0.011171875,0.1233203125,0.8655078125,1.834772474361477,0.495068265381019,1.4923458822661948,0.013975590139344544,290.81675128239243,58.67941560770888,0.0,0.47163628939436414,0.0,0.21938910398506217,0.0,0.0006462530870203332,0.0,0.0,0.01719142449214372,0.0381869601066043,0.04751974017945451,20
link_limited,standard_dqn,102.26094583284855,31.95315063519403,70.30779519612716,1.7040677192411386,19927.021936483383,608.5785474582389,0.0,30.22,0.0,0.8400000000000001,0.0,0.19292801558971404,0.0,0.0,0.013749999999999998,0.108359375,0.877890625,1.7452990460753448,0.7083018079813141,1.4253480477484763,0.01277948798172698,237.30098617290494,91.89513702474913,0.0,0.4736198786724272,0.0,0.21435337277741315,0.0,0.0006335888864741154,0.0,0.0,0.020534903394009815,0.05991257036367441,0.059187561221693455,20
nominal,centered_full_action_dqn_exact,77.66110048536771,28.130611520577226,49.53048897003382,1.4805192384449763,16068.986819791793,910.5120547291638,0.0,23.5,0.0,1.295,0.0,0.19171729266643525,0.0,0.0,0.00125,0.3031640625,0.6955859375,1.8363428739786603,0.5246940030203938,1.4634227932120487,0.010089106267473101,202.04872758081018,110.58683316747431,0.0,0.5433812270356208,0.0,0.30903074280724885,0.0,0.0007341471118299163,0.0,0.0,0.0029711295864934674,0.06462588986569848,0.06569167342628159,20
nominal,centered_full_action_dqn_preview_0p85,77.88408613763563,28.261678347317503,49.62240778324474,1.48090007745428,16090.31641245842,888.0339280211181,0.0,23.525,0.0,1.2625,0.0,0.191793649867177,0.0,0.0,0.0031640624999999998,0.290390625,0.7064453125,1.9450105332102232,0.5267462864693558,1.556648610646353,0.010730888233555162,211.89204449976046,109.41238198444007,0.0,0.6277570767171184,0.0,0.26846297402258773,0.0,0.0006833068569470024,0.0,0.0,0.007756687976681716,0.06809463538952416,0.07216665075068641,20
nominal,centered_full_action_dqn_preview_1p15,77.55649831764214,28.064518282674253,49.49198002724722,1.4811076564271934,16079.952673473357,937.4314087750017,0.0,23.465,0.0,1.3325,0.0,0.19167491350322963,0.0,0.0,0.0033203125,0.31984375,0.6768359375,1.7845706720509649,0.5214666355614225,1.4156720533489209,0.010552597976067349,221.78179778737845,112.53022859183179,0.0,0.5390293420389545,0.0,0.2691482667112761,0.0,0.0007196514303096975,0.0,0.0,0.005862115587147048,0.06467802419154722,0.06660852272532766,20
nominal,standard_dqn,78.32949279484153,28.36898778047413,49.96050499229506,1.4840100509882905,16124.045756382944,878.2996723295935,0.0,23.6325,0.0,1.26,0.0,0.19190480407327412,0.0,0.0,0.0044531250000000005,0.2816796875,0.7138671875,1.8848841906705494,0.7038094811270184,1.3800499997472664,0.00881810671993473,171.51977796040285,147.03868863492775,0.0,0.5577858011817797,0.0,0.2922688020155058,0.0,0.0007109981785138307,0.0,0.0,0.008345702511543544,0.0875482549476992,0.08645622268580708,20
thermal_stress,centered_full_action_dqn_exact,97.1037797466591,31.81523703510873,65.28854271254689,1.581825408716686,17896.820907211302,986.6539377177508,0.0,28.71,0.0,1.3125,0.0,0.3636386179924011,0.0,0.0,0.0019921875,0.2967578125,0.70125,1.9274567586744802,0.5523010977810007,1.5803027974076627,0.010955536848828547,230.5501514941669,100.34684794048246,0.0,0.5253069278251074,0.0,0.293739501492125,0.0,0.0007229772817494798,0.0,0.0,0.004090828293971354,0.0567000878887439,0.058156758620050236,20
thermal_stress,centered_full_action_dqn_preview_0p85,97.18169172059372,31.930870149089024,65.25082157330215,1.5816757978871465,17913.69037767887,962.7032929705271,0.0,28.725,0.0,1.2475,0.0,0.36375429794192315,0.0,0.0,0.0036328125,0.28421875,0.7121484375,2.090763221470271,0.5525266326801961,1.7023283025142737,0.011924410992755971,241.50780826899904,100.74975058696431,0.0,0.5526253132476875,0.0,0.2662977162579704,0.0,0.0007526013944020909,0.0,0.0,0.007755859646810258,0.05909005814193371,0.06345309219435642,20
thermal_stress,centered_full_action_dqn_preview_1p15,97.1332835242115,31.785474501093848,65.34780905443803,1.5831199752818794,17918.394822502138,1010.0537931555136,0.0,28.735000000000003,0.0,1.3475,0.0,0.363564181253314,0.0,0.0,0.004179687499999999,0.3098828125,0.6859375,1.9992604064034696,0.586810563182424,1.6289736859632833,0.011873099189836265,252.22593738666924,107.28178591211952,0.0,0.4915335829400625,0.0,0.2592879926990348,0.0,0.0006903829547405808,0.0,0.0,0.007206224715514595,0.057953062474246475,0.06034685498907436,20
thermal_stress,standard_dqn,97.55133761291765,32.07080661085435,65.48053104002402,1.5849628044851125,17959.08145602703,946.7543581854737,0.0,28.775,0.0,1.2775,0.0,0.36378967866301537,0.0,0.0,0.0058203125,0.273203125,0.7209765625,2.029376751590585,0.7428923483465817,1.5882157437556779,0.009924943600750432,205.28635093773738,141.24408753543568,0.0,0.4927100139988396,0.0,0.2997696484056768,0.0,0.000668038847494381,0.0,0.0,0.010568478118876795,0.08013375594914074,0.07909767645993793,20
