policy,model_seed,trace_seed,scenario,environment_scenario,coupling,generator,compute_scale,data_scale,energy_scale,heat_scale,link_scale,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction,profile
mpc_h4,800,3300009,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,88.66965602338314,27.6668381690979,61.00281837582588,1.5846358938142657,17303.28758239746,1458.2143079042435,0.0,27.0,0.0,1.0,299.83680055011064,0.19006706774234772,0.0,0.0,0.015625,0.578125,0.40625,reference
mpc_h4,800,3300010,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,91.66677295315264,28.055225282907486,63.61154829609394,1.5891868462786078,17489.469844818115,1449.7051315307617,0.0,28.0,2.0,2.0,305.0434999167919,0.1899445503950119,0.0,0.0,0.0,0.59375,0.40625,reference
mpc_h4,800,3300011,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,83.63990415036679,28.015280671417713,55.62462345659733,1.593714252114296,17305.00835418701,1310.7234934568405,0.0,27.0,0.0,1.0,297.47920052614063,0.1897362321615219,0.0,0.0,0.0,0.484375,0.515625,reference
mpc_h4,800,3300012,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,99.25055491680499,28.843809634447098,70.40674538666603,1.6023455299437046,17736.61745071411,1448.4299836158752,0.0,32.0,2.0,1.0,302.896200097166,0.18986129760742188,0.0,0.0,0.0,0.578125,0.421875,reference
mpc_h4,800,3300013,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,79.45459709614515,25.449193753302097,54.00540396869182,1.51954266987741,15775.79381942749,1359.7054302692413,0.0,27.0,0.0,3.0,303.3572006970644,0.18972593545913696,0.0,0.0,0.0,0.546875,0.453125,reference
mpc_h4,800,3300014,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,82.98921789228916,27.10488996654749,55.884327694773674,1.560869270004332,16947.86318206787,1377.6123681664467,0.0,26.0,0.0,1.0,302.5693001691252,0.19111792743206024,0.0,0.0,0.015625,0.59375,0.390625,reference
mpc_h4,800,3300015,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,91.0651985257864,28.210807517170906,62.85439132153988,1.5880152340978384,17125.39499282837,1583.706521987915,0.0,28.0,0.0,1.0,305.3277004510164,0.19073110818862915,0.0,0.0,0.0,0.5625,0.4375,reference
mpc_h4,800,3300016,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,81.5491748675704,25.886248104274273,55.66292706131935,1.542189502157271,16443.847564697266,1503.2508997917175,0.0,26.0,0.0,1.0,307.11699987296015,0.18988971412181854,0.0,0.0,0.0,0.640625,0.359375,reference
mpc_h4,800,3300017,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,95.67690809475306,26.687878608703613,68.9890289645088,1.581326606683433,16958.535472869873,1355.015745535493,0.0,31.0,1.0,0.0,305.87939999531955,0.1904817670583725,0.0,0.0,0.015625,0.5625,0.421875,reference
mpc_h4,800,3300018,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,98.14900805467751,29.336407467722893,68.8126006763616,1.639869716949761,17996.463943481445,1517.7138879299164,0.0,30.0,4.0,1.0,306.13400018773973,0.18987779319286346,0.0,0.0,0.0,0.53125,0.46875,reference
